LATITUDE,LONGITUDE,AGE,SN
255,40.2883,-118.559,33.4,2.7
256,41.9053,-118.98,33.4,3.4
257,37.65,-117.55,33.4,2.9
258,38.2297,-117.60799999999999,33.4,2.8
259,37.018,-116.302,33.4,3.5
260,40.614000000000004,-117.057,37.0,2.7
261,40.614000000000004,-117.055,37.0,3
262,40.614000000000004,-117.055,37.0,3.2
263,40.609,-117.053,37.0,14
264,40.613,-117.05799999999999,37.0,4.5
265,40.613,-117.055,88.0,10
266,40.614000000000004,-117.057,88.0,3.5
267,40.614000000000004,-117.055,88.0,12
268,40.611,-117.055,88.0,5.3
269,40.611,-117.055,88.0,4.5
270,40.611,-117.055,88.0,4.4
271,40.611,-117.055,88.0,3.6
272,40.613,-117.05799999999999,88.0,8.6
273,40.613,-117.05799999999999,88.0,4.1
274,40.614000000000004,-117.05799999999999,112.0,10
275,40.0667,-105.617,68.0,14
276,40.0667,-105.617,68.0,0
277,40.0667,-105.6,68.0,4
278,40.1,-105.617,68.0,0
279,39.9833,-105.583,63.0,0
280,39.9833,-105.583,63.0,0
281,39.9833,-105.583,63.0,0
282,39.9833,-105.6,63.0,0
283,39.9833,-105.583,63.0,0
284,39.9667,-105.583,63.0,0
285,39.9833,-105.583,63.0,0
286,39.9833,-105.583,63.0,0
287,39.9833,-105.583,63.0,0
288,39.9833,-105.583,63.0,0
289,39.9833,-105.6,63.0,0
290,39.9833,-105.6,63.0,0
291,39.9833,-105.583,63.0,0
292,40.0667,-105.617,68.0,4
293,40.0667,-105.6,68.0,5
294,40.0667,-105.617,68.0,5
295,40.0167,-105.583,65.0,0
296,40.0,-105.417,54.0,0
297,39.9,-105.542,54.0,0
298,40.0667,-105.617,68.0,10
299,40.1,-105.617,68.0,7
300,39.9667,-105.5,63.0,0
301,39.9667,-105.43299999999999,63.0,0
302,39.95,-105.625,59.0,0
303,39.9833,-105.583,63.0,0
304,39.9833,-105.6,63.0,0
305,39.9833,-105.6,63.0,0
306,39.9667,-105.56700000000001,63.0,0
307,39.9833,-105.583,63.0,0
308,40.0,-105.6,70.0,0
309,40.0,-105.583,70.0,0
310,39.9833,-105.53299999999999,63.0,0
311,40.0167,-105.51700000000001,63.0,0
312,40.1,-105.6,68.0,4
313,40.0833,-105.6,68.0,0
314,40.1,-105.617,68.0,0
315,40.0667,-105.617,68.0,0
316,40.0667,-105.6,68.0,5
317,40.0667,-105.6,68.0,0
318,40.0417,-105.6,68.0,0
319,40.05,-105.625,68.0,0
320,40.0833,-105.617,68.0,3
321,40.0667,-105.617,68.0,4
322,40.0833,-105.617,68.0,0
323,40.1,-105.617,68.0,0
324,40.05,-105.583,68.0,0
325,40.0667,-105.6,68.0,0
326,40.0667,-105.6,68.0,0
327,40.0833,-105.583,68.0,0
328,40.0833,-105.6,68.0,0
329,40.0833,-105.6,68.0,0
330,40.05,-105.458,54.0,0
331,40.05,-105.46700000000001,54.0,48
332,40.0333,-105.45,54.0,0
333,40.0333,-105.417,54.0,0
334,40.0417,-105.43299999999999,54.0,0
335,40.125,-105.39200000000001,59.0,0
336,40.125,-105.39200000000001,59.0,0
337,40.0667,-105.51700000000001,55.0,0
338,40.0667,-105.5,55.0,0
339,40.05,-105.51700000000001,55.0,0
340,40.0583,-105.46700000000001,55.0,0
341,40.075,-105.43299999999999,55.0,20
342,40.0667,-105.48299999999999,55.0,0
343,46.6674,-115.435,46.2,2.5
344,46.7022,-115.441,46.2,2.5
345,46.6133,-115.507,46.2,14
346,46.6985,-115.55,46.2,28
347,46.7291,-115.38799999999999,46.2,2.5
348,46.7279,-115.41,46.2,2.5
349,46.6419,-115.59899999999999,46.2,2.5
350,46.6996,-115.48,46.2,2.5
351,46.6443,-115.505,46.2,2.5
352,46.7669,-115.406,46.2,6
353,46.7153,-115.561,46.2,2.5
354,46.655,-115.536,46.2,2.5
355,46.6283,-115.476,46.2,2.5
356,46.6214,-115.507,46.2,2.5
357,46.6713,-115.50299999999999,46.2,2.5
358,46.6966,-115.59,46.2,2.5
359,46.7404,-115.54,46.2,9
360,46.7053,-115.61399999999999,46.2,2.5
361,46.7538,-115.51299999999999,46.2,7
362,46.7642,-115.4,46.2,2.5
363,46.684,-115.59,46.2,2.5
364,46.7132,-115.545,46.2,8
365,46.6979,-115.645,46.2,2.5
366,46.7901,-115.414,46.2,2.5
367,46.6656,-115.383,46.2,2.5
368,46.7257,-115.633,46.2,2.5
369,46.6734,-115.385,46.2,16
370,46.7584,-115.509,46.2,2.5
371,46.6075,-115.48299999999999,46.2,2.5
372,46.5958,-115.598,46.2,6
373,46.6989,-115.58200000000001,46.2,2.5
374,46.6936,-115.588,46.2,3
375,46.6947,-115.585,46.2,4
376,46.6928,-115.59100000000001,46.2,8
377,46.6665,-115.54799999999999,46.2,4
378,46.6837,-115.6,46.2,1
379,19.56,-97.8433,9.25,1.11
380,27.3096,-114.17,151.0,2
381,27.4359,-114.427,154.95,3
382,27.2649,-114.363,147.35,2
383,52.2313,-127.331,9.3,11.9373
384,52.2106,-127.495,9.3,1.33971
385,52.1155,-127.848,9.3,4.34261
386,52.3171,-126.949,52.7,0.944132
387,52.3105,-127.03200000000001,52.7,1.01316
388,52.3853,-127.21700000000001,52.7,1.00094
389,52.4179,-127.23100000000001,52.7,0.91256
390,53.6862,-128.796,49.5,0.681649
391,52.3148,-127.163,57.3,0.855724
392,52.3074,-127.177,95.3,0.695059
393,52.3434,-127.21,58.4,0.798824
394,53.4133,-128.091,53.0,0.576485
395,53.4702,-128.234,59.6,0.719057
396,53.7342,-128.798,60.9,1.11298
397,53.7727,-128.805,59.0,1.18045
398,52.3707,-126.604,72.0,0.713653
399,52.3798,-126.561,72.0,2.73691
400,52.3798,-126.561,72.0,4.6626
401,52.3694,-126.819,68.0,1.22966
402,52.3471,-126.92399999999999,77.0,0.516366
403,52.5365,-127.223,61.5,0.432165
404,53.4777,-128.168,52.4,0.765805
405,53.8109,-128.72899999999998,81.9,1.26944
406,53.9375,-128.717,52.0,0.586693
407,52.4537,-126.428,146.3,1.34301
408,52.3749,-126.796,182.4,0.883788
409,52.6922,-126.95299999999999,150.4,1.09457
410,52.6231,-127.056,182.4,0.828028
411,53.9061,-128.76,52.4,1.10771
412,52.2278,-127.448,92.1,1.88392
413,52.5479,-127.24700000000001,82.8,0.778372
414,52.3714,-127.445,78.1,1.48375
415,52.1413,-127.959,91.3,1.03183
416,52.2004,-128.13299999999998,90.8,0.644486
417,52.6864,-128.16299999999998,90.3,1.25239
