LATITUDE,LONGITUDE,AGE,CU
31.875,141.227,46.0,47.0
31.875,141.227,46.0,63.0
34.08,139.52,-0.000246,133.0
33.13,139.77,1.305,180.0
34.08,139.52,-0.000366,182.0
30.861,141.314,46.0,11.0
34.1,139.5,-9e-06,140.0
34.15,139.55,-4.7e-05,134.0
20.53,145.6,-5.6999999999999996e-05,108.0
34.08,139.52,-4.7e-05,140.6
34.08,139.53,-6.9e-05,132.0
34.08,139.53,-6.9e-05,132.0
34.08,139.53,-6.9e-05,132.0
14.0725,145.105,28.45,26.0
14.0725,145.105,28.45,28.2
34.08,139.52,-2.6000000000000002e-05,144.0
34.08,139.52,-0.000135,119.3
34.75,139.42,1.305,285.0
34.08,139.52,-0.000135,132.0
34.08,139.52,-2.6000000000000002e-05,159.0
34.08,139.52,-0.000297,154.0
29.1531,140.71,28.45,19.3
34.15,139.55,-4.7e-05,140.0
29.178,140.71,28.45,34.2
34.08,139.53,-6.9e-05,97.0
14.0727,145.106,28.45,97.9
14.0727,145.106,28.45,108.0
29.1529,140.708,28.45,13.8
34.08,139.52,-9e-06,116.0
34.08,139.52,-0.000174,124.0
34.15,139.55,-0.000198,140.0
34.08,139.52,-0.000246,146.0
34.08,139.52,-2.6000000000000002e-05,137.0
34.75,139.42,1.305,318.0
31.8742,141.227,12.8,83.0
34.08,139.52,-0.00047400000000000003,114.0
34.15,139.55,-4.7e-05,135.0
34.75,139.42,1.305,306.0
34.75,139.42,1.305,123.0
31.47,140.03,1.305,59.9
34.08,139.52,-0.00047400000000000003,129.0
30.861,141.314,12.31,8.0
31.47,140.03,1.305,173.6
34.75,139.42,1.305,162.0
34.15,139.55,-4.7e-05,138.0
34.15,139.55,-4.7e-05,133.0
34.08,139.53,-6.9e-05,27.0
34.08,139.53,-6.9e-05,82.0
34.08,139.52,-0.000135,128.0
33.13,139.77,1.305,178.0
34.08,139.52,-9e-06,96.0
33.13,139.77,1.305,168.0
30.861,141.314,3.78,299.514
13.09,146.08,50.0,7.0
34.08,139.53,-6.9e-05,118.0
34.75,139.42,1.305,286.0
34.08,139.52,-9e-06,96.0
14.0703,145.112,28.45,71.7
14.0703,145.112,28.45,74.7
34.08,139.53,-6.9e-05,109.0
34.75,139.42,1.305,170.0
31.47,140.03,1.305,205.7
34.08,139.52,-0.000297,125.0
34.08,139.52,-2.6000000000000002e-05,126.0
13.09,146.08,50.0,26.0
34.08,139.52,-9e-06,132.0
34.08,139.52,-0.000135,133.0
34.75,139.42,1.305,88.0
31.47,140.03,1.305,65.1
19.632,146.542,1.305,133.0
34.08,139.52,-0.000174,95.0
34.08,139.52,-0.000414,119.0
34.15,139.55,-4.7e-05,147.0
34.75,139.42,1.305,228.0
31.8742,141.227,12.8,34.0
31.5,140.0,1.305,160.1
34.08,139.52,-0.000297,144.0
34.049,139.526,32.751,165.4
33.13,139.77,1.305,186.0
34.08,139.52,-2.6000000000000002e-05,147.0
34.08,139.52,-0.000174,108.0
34.08,139.52,-0.000366,161.0
12.73,145.48,50.0,11.0
34.08,139.52,-0.000297,161.0
34.08,139.52,-0.00047400000000000003,132.0
17.33,145.85,-0.000126,128.0
13.09,146.08,50.0,8.0
18.2203,144.681,1.305,89.0
34.75,139.42,1.305,75.0
34.08,139.52,-2.6000000000000002e-05,137.3
34.15,139.55,-4.7e-05,137.0
30.861,141.314,0.634,27.7445
14.0703,145.112,28.45,84.3
14.0703,145.112,28.45,87.1
34.08,139.52,-0.000366,160.0
34.08,139.52,-0.000297,144.0
30.861,141.314,0.685,103.51299999999999
30.861,141.314,29.61,102.0
31.5,140.0,1.305,133.8
34.08,139.52,-2.6000000000000002e-05,153.0
34.08,139.53,-6.9e-05,98.0
34.08,139.53,-6.9e-05,98.0
34.08,139.52,-0.00047400000000000003,136.0
34.08,139.52,-0.000297,126.0
33.13,139.77,1.305,227.0
34.08,139.52,-2.6000000000000002e-05,129.0
34.08,139.52,-0.000246,139.0
34.08,139.52,-9e-06,136.0
19.632,146.542,1.305,141.0
34.75,139.42,1.305,128.0
34.08,139.53,-6.9e-05,115.0
31.875,141.227,46.0,39.0
34.08,139.52,-2.6000000000000002e-05,148.0
33.13,139.77,1.305,186.0
34.08,139.52,-0.000366,139.0
12.73,145.48,50.0,1.0
34.08,139.52,-0.000366,141.0
34.08,139.52,-0.000366,118.0
34.08,139.52,-0.000366,160.0
34.08,139.53,-6.9e-05,122.0
34.08,139.52,-0.000246,136.0
34.08,139.52,-0.000135,102.0
34.08,139.52,-9e-06,128.0
34.08,139.52,-0.000135,134.0
31.5,140.0,1.305,158.7
31.47,140.03,1.305,252.1
31.5,140.0,1.305,88.3
34.08,139.52,-2.6000000000000002e-05,158.0
31.875,141.227,46.0,60.0
31.875,141.227,46.0,21.0
31.875,141.227,46.0,67.0
31.875,141.227,46.0,60.0
31.3132,143.4,158.25,59.16
34.08,139.53,-6.9e-05,119.0
13.09,146.08,50.0,2.0
34.08,139.53,-6.9e-05,121.0
