id,lon,lat,age
182,-117.97066,38.74936,19
183,-117.07814,38.70382,27
184,-113.2997222,38.48055556,28
185,-117.5,38.33333333,207
186,-108.75507,38.30389,30
187,-117.21925,38.08327,20
188,-120.108267,38.003712,147
189,-120.108267,38.003712,136
190,-107.61234,37.89561,15
191,-106.92615,37.84912,26
192,-117.21421,37.67075,21
193,-106.59282,37.42585,23
194,-108.0880556,37.40694444,68
195,-116.79339,37.00716,10
196,-115.1333333,35.48333333,73
197,-114.15,35.36666667,73
198,-114.41771,35.10782,18
199,-113.17,34.58,71
200,-112.58,34.51,64
201,-110.74,33.42,60
202,-108.80092,33.40453,17
203,-110.95,33.4,59
204,-110.9988889,33.37805556,60
205,-110.9030556,33.34222222,61
206,-110.9419444,33.33388889,61
207,-110.97,33.16,61
208,-111.4166667,33.11666667,62
209,-111.58,33.11,70
210,-109.34,33.09,56
211,-110.7333333,33.07,64
212,-111.2161111,33.03611111,70
213,-111.2161111,33.03611111,65
214,-111.2161111,33.03611111,60
215,-111.8,32.96,63
216,-109.6,32.93333333,55
217,-109.6,32.93333333,50
218,-111.95,32.86666667,71
219,-111.95,32.86666667,66
220,-108.0819444,32.85277778,69
221,-108.0819444,32.85277778,64
222,-108.0819444,32.85277778,59
223,-108.1186111,32.80666667,75
224,-108.0669444,32.80555556,56
225,-110.48,32.75,58
226,-110.67,32.67,68
227,-108.3669444,32.63305556,56
228,-111.88,32.52,66
229,-111.5,32.4,68
230,-112.85,32.36,63
231,-110.03,32.09,53
232,-111.0666667,31.98333333,58
233,-111.0166667,31.96666667,56
234,-111.03,31.88,58
235,-111.12,31.86944444,55
236,-110.76,31.83,62
237,-110.76,31.83,57
238,-110.4619444,31.76805556,74
239,-110.72,31.49,60
240,-109.91,31.43,180
241,-110.45,31.11666667,58
242,-110.3166667,30.95416667,56
243,-109.7527778,30.48194444,57
244,-109.7305556,30.38388889,52
245,-109.6333333,30.33611111,53
246,-109.5,30.3,51
247,-109.8208333,29.80861111,62
248,-109.8208333,29.80861111,57
249,-109.8208333,29.80861111,52
250,-109.8208333,29.80861111,47
251,-109.8208333,29.80861111,42
252,-104.4,29.80833333,60
253,-108.7423,28.65023,31
254,-108.7423,28.65023,26
255,-109.8030556,28.41138889,57
256,-109.6569444,28.38611111,57
257,-113.5666667,28.03333333,107
258,-107.7,27.03333333,51
259,-108.2333333,26.71666667,57
260,-107.3294444,26.25222222,46
261,-107.35,25.66666667,54
262,-105.93384,24.10041,35
263,-102.85042,23.15046,30
264,-101.26428,21.01725,29
265,-98.75031,20.25059,21
266,-102.0313889,19.07777778,32
267,-101.9783333,18.94361111,33
268,-101.6408333,18.88083333,34
269,-92.33055556,15.31888889,6
