# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
55.28,0.20,4.12,409.36,2.19
27.23,0.09,120.95,1467.09,2.20
14.87,0.07,120.95,1467.09,1.93
54.55,0.20,4.12,393.71,2.22
6.43,0.05,120.95,1467.09,1.56
53.83,0.20,4.12,393.71,2.27
6.43,0.05,120.95,1467.09,1.56
53.11,0.20,4.12,393.71,2.31
6.43,0.05,120.95,1467.09,1.56
6.43,0.05,120.95,1467.09,1.56
53.11,0.20,4.12,393.71,2.31
6.43,0.05,120.95,1467.09,1.56
52.40,0.20,4.12,393.71,2.34
6.43,0.05,120.95,1467.09,1.56
6.43,0.05,120.95,1467.09,1.56
51.68,0.19,4.12,369.54,2.37
6.43,0.05,120.95,1467.09,1.56
51.68,0.19,4.12,369.54,2.37
6.43,0.05,120.95,1467.09,1.56
50.95,0.18,4.12,369.54,2.40
6.43,0.05,120.95,1467.09,1.56
50.23,0.18,4.12,373.85,2.41
6.43,0.05,120.95,1467.09,1.56
49.90,0.18,4.12,373.85,2.42
5.80,0.05,120.95,1467.09,1.54
49.90,0.18,4.12,373.85,2.42
5.80,0.05,120.95,1467.09,1.54
49.23,0.18,4.12,373.85,2.43
5.04,0.05,120.95,1467.09,1.52
4.23,0.04,120.95,1467.09,1.49
48.55,0.18,4.12,373.85,2.44
4.23,0.04,120.95,1467.09,1.49
48.55,0.18,4.12,373.85,2.44
3.41,0.04,120.95,1467.09,1.45
47.89,0.18,4.12,373.85,2.44
2.64,0.03,120.95,1073.49,1.39
47.22,0.18,4.12,373.85,2.45
2.64,0.03,120.95,1073.49,1.39
46.60,0.18,4.12,373.85,2.45
1.96,0.03,120.95,1073.49,1.31
45.92,0.17,4.12,365.23,2.45
1.25,0.02,145.42,1073.49,1.22
45.92,0.17,4.12,365.23,2.45
1.07,0.02,145.42,1073.49,1.16
45.25,0.17,4.12,365.23,2.44
1.07,0.03,145.42,1073.49,1.16
1.58,0.03,145.42,1073.49,1.27
44.54,0.17,4.12,365.23,2.44
1.58,0.06,145.42,1073.49,1.27
43.81,0.17,4.12,365.23,2.44
2.02,0.06,145.42,1073.49,1.33
2.02,0.06,145.42,1073.49,1.33
43.81,0.17,4.12,365.23,2.44
2.44,0.07,145.42,1073.49,1.38
43.09,0.17,4.12,365.23,2.44
2.90,0.08,226.73,1073.49,1.42
43.27,0.17,4.12,365.23,2.43
3.38,0.08,226.73,1073.49,1.45
40.50,0.16,4.12,365.23,2.41
3.38,0.08,226.73,1206.91,1.45
38.92,0.16,4.12,365.23,2.41
3.86,0.09,226.73,1206.91,1.48
36.66,0.16,4.12,325.24,2.38
4.38,0.10,226.73,1206.91,1.50
4.38,0.10,226.73,1206.91,1.50
36.66,0.16,4.12,320.64,2.38
4.93,0.10,226.73,1206.91,1.52
36.64,0.12,4.12,320.64,2.37
5.45,0.11,226.73,1206.91,1.53
35.74,0.12,4.12,320.64,2.36
5.45,0.11,226.73,1206.91,1.53
35.59,0.12,4.12,320.64,2.36
6.02,0.11,226.73,1206.91,1.55
35.59,0.12,4.12,320.64,2.36
6.61,0.12,226.73,1206.91,1.56
35.28,0.12,4.12,320.64,2.35
7.22,0.12,226.73,1206.91,1.58
35.03,0.12,4.12,320.64,2.35
7.22,0.13,226.73,1206.91,1.58
34.06,0.12,4.12,320.64,2.33
7.82,0.13,226.73,1206.91,1.60
32.82,0.11,4.12,320.64,2.31
8.47,0.14,226.73,1206.91,1.62
8.47,0.14,226.73,1206.91,1.62
32.82,0.11,4.12,325.34,2.31
9.12,0.14,226.73,1206.91,1.64
31.76,0.11,4.12,325.34,2.29
9.80,0.15,226.73,1206.91,1.67
30.83,0.11,4.12,325.34,2.27
9.80,0.15,226.73,1206.91,1.67
30.02,0.13,4.12,325.34,2.25
10.49,0.15,226.73,1206.91,1.70
29.30,0.12,4.12,325.34,2.24
11.27,0.16,226.73,1206.91,1.74
29.30,0.12,4.12,325.34,2.24
11.27,0.16,226.73,1206.91,1.74
28.66,0.12,4.12,325.34,2.23
13.64,0.17,226.73,1206.91,1.87
16.30,0.19,226.73,1206.91,1.98
28.09,0.12,4.12,325.34,2.22
16.30,0.19,226.73,1206.91,1.98
27.57,0.12,4.12,325.34,2.21
18.40,0.20,226.73,1206.91,2.04
27.57,0.14,7.99,325.34,2.21
20.14,0.21,226.73,1206.91,2.08
25.86,0.13,7.99,325.34,2.18
21.64,0.22,226.73,1206.91,2.10
23.62,0.13,7.99,325.34,2.14
21.64,0.18,226.73,1206.91,2.10
23.62,0.13,7.99,325.34,2.14
22.93,0.19,226.73,1206.91,2.13
22.83,0.13,7.99,325.34,2.13
22.93,0.19,226.73,1206.91,2.13
22.11,0.12,7.99,325.34,2.11
24.02,0.19,226.73,1206.91,2.14
18.89,0.11,7.99,325.34,2.05
24.93,0.20,226.73,1206.91,2.16
17.76,0.11,7.99,325.34,2.03
24.93,0.20,226.73,1206.91,2.16
16.64,0.11,7.99,325.34,2.00
25.71,0.20,226.73,1206.91,2.18
