# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
36.06,0.10,7.91,1836.86,2.40
36.06,0.10,7.91,1836.86,2.40
35.47,0.12,7.91,1836.86,2.39
34.98,0.12,7.91,1836.86,2.39
34.07,0.12,7.91,1836.86,2.38
34.07,0.12,7.91,1836.86,2.38
33.43,0.12,7.91,1836.86,2.37
32.72,0.12,7.91,1836.86,2.36
31.91,0.12,7.91,1836.86,2.35
31.17,0.11,7.91,1836.86,2.34
30.40,0.11,7.91,1836.86,2.32
29.68,0.11,7.91,1836.86,2.31
96.42,0.15,3.10,171.75,2.31
28.87,0.11,7.91,1836.86,2.28
28.87,0.11,7.91,1836.86,2.28
28.20,0.11,7.91,1836.86,2.26
27.40,0.10,7.91,1836.86,2.23
26.66,0.10,7.91,1836.86,2.21
25.87,0.10,7.91,1836.86,2.18
25.07,0.10,7.91,1836.86,2.16
25.07,0.10,7.91,1836.86,2.16
23.96,0.10,7.91,1836.86,2.13
23.37,0.10,7.91,1836.86,2.12
23.25,0.10,7.91,1836.86,2.11
23.39,0.10,7.91,1836.86,2.12
23.66,0.10,7.91,1836.86,2.12
23.66,0.10,7.91,1836.86,2.12
24.01,0.10,7.91,1836.86,2.13
24.40,0.10,7.91,1836.86,2.14
24.79,0.10,7.91,1836.86,2.15
25.14,0.10,7.91,1836.86,2.16
25.43,0.10,7.91,1836.86,2.17
25.43,0.09,7.91,1836.86,2.17
25.61,0.09,7.91,1836.86,2.17
26.77,0.10,7.91,1836.86,2.21
26.77,0.09,7.91,1836.86,2.21
26.48,0.09,7.91,1836.86,2.20
25.76,0.09,7.91,1836.86,2.18
24.43,0.09,7.91,1836.86,2.14
24.43,0.09,7.91,1836.86,2.14
22.32,0.09,7.91,1836.86,2.10
19.43,0.08,7.91,1823.37,2.05
15.95,0.08,7.91,1823.37,1.97
15.95,0.08,7.91,1823.37,1.97
10.94,0.06,7.91,1823.37,1.79
3.70,0.04,7.91,1823.37,1.54
0.76,0.02,7.91,1823.37,1.03
0.76,0.02,7.91,1823.37,1.03
0.65,0.01,7.91,1823.37,0.96
0.48,0.01,7.91,1823.37,0.88
0.48,0.01,7.91,1823.37,0.88
0.34,0.01,7.91,1823.37,0.77
0.11,0.01,7.91,1823.37,0.45
0.11,0.01,7.91,1823.37,0.45
1.26,0.02,7.91,1823.37,1.15
5.26,0.04,7.91,1823.37,1.66
11.93,0.06,7.91,1823.37,1.82
11.53,0.06,7.91,1823.37,1.81
11.53,0.06,7.91,1823.37,1.81
96.42,0.15,3.15,171.75,2.31
9.84,0.05,7.91,1823.37,1.76
5.84,0.04,7.91,1823.37,1.69
5.84,0.04,7.91,1823.37,1.69
2.74,0.03,7.91,1823.37,1.43
6.46,0.04,7.91,1823.37,1.72
2.79,0.03,7.91,1823.37,1.44
2.79,0.03,7.91,1823.37,1.44
0.36,0.01,7.91,1823.37,0.76
0.36,0.01,7.91,1823.37,0.76
0.36,0.01,7.91,1823.37,0.76
5.66,0.04,7.91,1823.37,1.69
1.54,0.02,7.91,1823.37,1.21
8.49,0.04,7.91,1823.37,1.75
8.49,0.04,7.91,1823.37,1.75
14.52,0.06,7.91,1823.37,1.93
14.52,0.06,7.91,1823.37,1.93
14.52,0.05,7.91,1823.37,1.93
19.14,0.06,7.91,1823.37,2.04
17.85,0.05,7.91,1823.37,2.02
17.85,0.05,7.91,436.39,2.02
21.84,0.06,7.91,436.39,2.09
21.84,0.07,7.91,436.39,2.09
21.84,0.06,7.91,436.39,2.09
21.84,0.09,7.91,436.39,2.09
24.07,0.09,7.91,436.39,2.13
24.07,0.09,7.91,436.39,2.13
24.95,0.09,7.91,436.39,2.15
25.01,0.09,7.91,436.39,2.16
29.52,0.09,7.91,436.39,2.31
33.41,0.10,7.91,436.39,2.37
33.41,0.10,7.91,436.39,2.37
35.75,0.10,7.91,436.39,2.40
37.39,0.11,7.91,436.39,2.41
37.39,0.11,7.91,436.39,2.41
39.01,0.11,7.91,436.39,2.42
39.01,0.11,7.91,436.39,2.42
40.66,0.11,7.91,436.39,2.44
40.66,0.11,7.91,436.39,2.44
96.42,0.15,3.15,171.75,2.31
42.28,0.11,7.91,436.39,2.45
42.28,0.12,7.91,436.39,2.45
43.93,0.12,7.91,436.39,2.46
45.68,0.12,7.91,436.39,2.47
45.68,0.12,7.91,436.39,2.47
47.46,0.12,7.91,436.39,2.48
46.11,0.12,7.91,436.39,2.48
47.96,0.11,7.91,436.39,2.49
47.96,0.11,7.91,436.39,2.49
49.76,0.12,7.91,436.39,2.50
49.76,0.12,7.91,436.39,2.50
51.55,0.12,7.91,436.39,2.51
53.43,0.12,7.91,436.39,2.52
53.43,0.12,7.91,436.39,2.52
55.27,0.12,7.91,436.39,2.53
55.27,0.12,7.91,436.39,2.53
110.06,0.15,3.15,163.51,1.90
57.10,0.13,7.91,347.57,2.54
57.10,0.13,7.91,347.57,2.54
58.89,0.13,7.91,347.57,2.55
58.89,0.13,7.91,347.57,2.55
60.73,0.13,7.91,347.57,2.56
60.73,0.13,7.91,347.57,2.56
62.60,0.13,7.91,347.57,2.57
62.60,0.13,7.91,347.57,2.57
64.39,0.13,7.91,347.57,2.58
