# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.033969,14.315850,354.693787,2.588343
0.029871,73.599113,1771.107422,2.132098
0.014438,15.957577,264.429291,2.443740
0.048743,14.315850,354.693787,2.588343
0.048646,14.315850,354.693787,2.588343
0.029719,73.599113,1771.107422,2.132098
0.015179,15.957577,264.429291,2.443740
0.047667,15.690631,417.421356,2.557429
0.015920,13.740147,277.256805,2.443740
0.047571,15.690631,417.421356,2.557429
0.028822,82.763412,1771.107422,2.110427
0.044547,15.690631,417.421356,2.557429
0.034237,13.740147,277.256805,2.443740
0.035008,13.740147,277.256805,2.443740
0.044405,15.690631,417.421356,2.557429
0.047093,82.763412,1771.107422,2.110427
0.035780,13.740147,277.256805,2.443740
0.043509,15.690631,417.421356,2.591846
0.036550,13.740147,277.256805,2.443740
0.043368,15.690631,417.421356,2.591846
0.046926,82.763412,1771.107422,2.110427
0.037302,14.343181,288.844391,2.432405
0.043227,15.690631,417.421356,2.591846
0.038071,14.343181,288.844391,2.432405
0.045502,82.763412,1771.107422,2.071850
0.038841,14.727368,305.002563,2.432405
0.043086,15.983692,488.086487,2.591846
0.039610,14.727368,305.002563,2.432405
0.160221,15.983692,488.086487,2.591846
0.158829,17.633015,503.447418,2.598246
0.043659,14.727368,305.002563,2.432405
0.158157,17.633015,503.447418,2.598246
0.045338,82.763412,1771.107422,2.071850
0.157484,17.633015,503.447418,2.598246
0.044401,14.727368,305.002563,2.432405
0.156809,17.633015,503.447418,2.598246
0.166310,17.633015,503.447418,2.598246
0.045106,12.904452,316.914948,2.411639
0.165555,17.633015,503.447418,2.598246
0.045174,82.763412,1771.107422,2.071850
0.045847,12.904452,316.914948,2.411639
0.165563,16.990396,510.599243,2.600322
0.164801,16.990396,510.599243,2.600322
0.046588,12.904452,316.914948,2.411639
0.164037,16.990396,510.599243,2.600322
0.163271,16.990396,510.599243,2.600322
0.047328,12.904452,316.914948,2.411639
0.158678,19.938690,625.455933,2.569480
0.043318,82.763412,1771.107422,2.014564
0.157927,19.938690,625.455933,2.569480
0.048067,9.601349,338.192505,2.411639
0.158635,17.601572,655.447754,2.587128
0.048806,9.601349,338.192505,2.411639
0.157873,17.601572,655.447754,2.587128
0.157110,17.601572,655.447754,2.587128
0.049545,9.236470,353.381378,2.411639
0.156346,17.601572,655.447754,2.587128
0.043159,82.763412,1771.107422,2.014564
0.153045,17.601572,655.447754,2.587128
0.054444,9.236470,353.381378,2.411639
0.142456,15.879345,656.370728,2.286583
0.054999,9.236470,353.381378,2.340349
0.141730,15.879345,656.370728,2.286583
0.055739,9.236470,353.381378,2.340349
0.043000,82.763412,1771.107422,2.014564
0.141003,15.879345,656.370728,2.286583
0.056479,9.236470,353.381378,2.340349
0.140274,15.879345,656.370728,2.286583
0.057218,9.236470,353.381378,2.340349
0.139544,15.879345,656.370728,2.286583
0.057705,9.361648,368.868744,2.287972
0.138812,15.879345,656.370728,2.286583
0.042840,82.763412,1771.107422,2.014564
0.058440,9.361648,368.868744,2.287972
0.131469,15.159682,653.102661,2.139468
0.140380,26.595812,829.109497,2.350930
0.059174,10.967214,401.089874,2.287972
0.139627,26.595812,829.109497,2.350930
0.059908,10.967214,401.089874,2.287972
0.138874,26.595812,829.109497,2.350930
0.043650,82.763412,1771.107422,2.040716
0.060641,10.967214,401.089874,2.287972
0.138118,26.595812,829.109497,2.350930
0.061373,10.967214,401.089874,2.287972
0.085144,14.011457,447.115143,2.344033
0.077990,14.011457,447.115143,2.344033
0.140476,26.595812,829.109497,2.350930
0.084800,12.519817,424.717346,2.292594
0.078687,14.011457,447.115143,2.344033
0.084036,12.519817,424.717346,2.292594
0.135943,26.400896,802.421875,2.278661
0.079382,14.011457,447.115143,2.344033
0.083272,12.519817,424.717346,2.292594
0.061820,12.519817,424.717346,2.292594
