# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.209357,19.724312,161.801254,2.843287
0.063933,9.882793,419.138977,2.516392
0.209371,19.724312,161.801254,2.840158
0.063561,9.882793,419.138977,2.512932
0.063202,9.882793,419.138977,2.509420
0.209711,19.724312,161.801254,2.847586
0.062832,9.882793,419.138977,2.505408
0.209736,19.724312,161.801254,2.845130
0.062460,9.882793,419.138977,2.500882
0.209827,19.724312,161.801254,2.844802
0.061817,9.882793,419.138977,2.490449
0.061434,9.882793,419.138977,2.483907
0.209647,19.724312,161.801254,2.835498
0.060493,9.882793,419.138977,2.456927
0.209821,19.724312,161.801254,2.838202
0.059016,9.882793,419.138977,2.397037
0.210087,19.724312,161.801254,2.843853
0.058090,9.882793,419.138977,2.357377
0.212831,19.724312,161.801254,2.846521
0.055834,9.882793,419.138977,2.330474
0.052608,9.882793,419.138977,2.254309
0.213451,19.724312,159.059341,2.860064
0.050112,9.882793,419.138977,2.218305
0.213619,19.724312,159.059341,2.861721
0.049124,9.882793,419.138977,2.196367
0.213868,19.724312,159.059341,2.864585
0.048514,9.882793,419.138977,2.179664
0.214030,19.724312,159.059341,2.865784
0.047960,9.882793,419.138977,2.162097
0.047391,9.882793,419.138977,2.141863
0.214273,19.724312,159.059341,2.867724
0.046842,9.882793,419.138977,2.121158
0.214430,19.724312,159.059341,2.868470
0.046314,9.882793,419.138977,2.101927
0.045822,9.882793,419.138977,2.085325
0.214665,19.724312,159.059341,2.869513
0.045103,9.882793,419.138977,2.065568
0.214816,19.724312,159.059341,2.869811
0.044817,9.882793,419.138977,2.061142
0.044600,9.882793,419.138977,2.058901
0.215044,19.724312,159.059341,2.869949
0.044442,9.882793,419.138977,2.057829
0.215189,19.724312,159.059341,2.869789
0.044330,9.882793,419.138977,2.057417
0.044250,9.882793,419.138977,2.057375
0.215411,19.724312,159.059341,2.869026
0.046335,9.882793,419.138977,2.057524
0.215550,19.724312,157.862976,2.868429
0.046274,9.882793,419.138977,2.057707
0.046201,9.882793,419.138977,2.057761
0.215765,19.724312,157.862976,2.866803
0.048298,9.882793,419.138977,2.127521
0.048215,9.882793,419.138977,2.127521
0.215976,19.724312,157.862976,2.864577
0.047898,9.882793,419.138977,2.117566
0.047453,9.882793,419.138977,2.102627
0.216105,19.724312,157.862976,2.863249
0.046808,9.882793,419.138977,2.081277
0.045582,9.882793,419.138977,2.056270
0.216310,19.724312,157.862976,2.860189
0.042567,9.882793,419.138977,2.104307
0.040412,9.882793,419.138977,2.099055
0.216510,19.724312,157.862976,2.856573
0.040338,9.882793,419.138977,2.099055
0.039702,9.882793,419.138977,2.075902
0.216631,19.724312,157.862976,2.854545
0.038324,9.882793,419.138977,2.005161
0.037708,9.882793,419.138977,1.969185
0.216825,19.724312,157.862976,2.850080
