# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
58.04,0.35,3.17,250.61,2.35
57.11,0.28,19.15,326.14,2.37
58.04,0.35,3.17,250.61,2.35
56.68,0.28,19.15,311.40,2.37
58.04,0.35,3.17,250.61,2.35
56.68,0.28,19.15,311.40,2.37
56.24,0.34,3.17,250.61,2.37
56.22,0.28,19.15,304.28,2.37
56.08,0.34,3.17,250.61,2.37
55.66,0.28,19.15,297.35,2.37
56.05,0.34,3.17,250.61,2.37
54.97,0.28,19.15,287.56,2.35
54.30,0.27,19.15,287.56,2.32
56.05,0.34,3.17,250.61,2.37
53.60,0.27,19.15,287.56,2.29
56.06,0.34,3.17,250.61,2.37
53.60,0.32,19.15,287.56,2.29
57.60,0.35,3.17,261.66,2.36
52.91,0.32,19.15,287.56,2.24
57.61,0.35,3.17,250.61,2.36
52.22,0.32,19.15,287.56,2.20
57.63,0.35,3.17,250.61,2.36
51.55,0.32,19.15,287.56,2.16
57.65,0.35,3.17,242.97,2.36
50.85,0.31,19.15,287.56,2.12
50.17,0.31,19.15,287.56,2.09
57.68,0.33,3.17,250.61,2.36
50.17,0.31,19.15,287.56,2.09
57.68,0.33,3.17,250.61,2.36
49.48,0.31,19.15,287.56,2.06
57.68,0.33,3.17,250.61,2.36
48.80,0.31,19.15,287.56,2.04
57.68,0.33,3.17,250.61,2.36
48.14,0.30,19.15,287.56,2.03
56.35,0.33,3.17,250.61,2.37
47.43,0.30,19.15,287.56,2.02
58.07,0.33,3.17,242.97,2.35
46.75,0.30,19.15,287.56,2.01
58.07,0.33,3.17,250.61,2.35
46.05,0.30,19.15,287.56,2.00
46.05,0.30,19.15,287.56,2.00
58.07,0.33,3.17,250.61,2.35
45.38,0.29,19.15,287.56,2.00
58.07,0.33,3.17,250.61,2.35
44.69,0.29,19.15,294.82,2.00
58.07,0.33,3.17,250.61,2.35
44.02,0.29,19.15,294.82,2.00
58.14,0.33,3.17,250.61,2.35
43.09,0.29,19.15,294.82,2.01
58.21,0.33,3.17,250.61,2.35
42.17,0.28,19.15,294.82,2.03
58.29,0.33,3.17,251.27,2.34
41.19,0.28,19.15,294.82,2.06
58.38,0.33,3.17,250.61,2.34
40.29,0.28,19.15,294.82,2.10
58.46,0.33,3.17,250.61,2.34
39.35,0.27,19.15,294.82,2.15
58.55,0.33,3.17,250.61,2.34
39.35,0.27,19.15,294.82,2.15
58.65,0.33,3.17,251.27,2.33
38.43,0.27,19.15,294.82,2.19
58.75,0.33,3.17,250.61,2.33
37.52,0.26,19.15,318.27,2.24
36.82,0.26,19.15,318.27,2.26
58.85,0.33,3.17,250.61,2.33
37.08,0.26,19.15,318.27,2.25
58.96,0.33,3.17,251.27,2.32
37.35,0.26,19.15,349.79,2.24
59.08,0.33,3.17,251.27,2.32
37.66,0.26,19.15,349.79,2.23
59.19,0.33,3.17,251.27,2.32
37.60,0.26,19.15,349.79,2.23
59.31,0.33,3.17,251.27,2.31
37.53,0.26,19.15,349.79,2.24
59.44,0.33,3.17,250.61,2.31
37.53,0.26,19.15,349.79,2.24
59.57,0.33,3.17,250.61,2.31
40.11,0.27,19.15,349.79,2.11
59.70,0.33,3.17,250.61,2.30
41.09,0.27,19.15,427.17,2.06
59.84,0.33,3.17,251.27,2.30
41.85,0.27,19.15,427.17,2.04
59.98,0.33,3.17,250.61,2.29
42.43,0.28,19.15,427.17,2.02
60.12,0.33,3.17,250.61,2.29
42.83,0.28,19.15,427.17,2.01
60.12,0.33,3.17,250.61,2.29
43.06,0.28,19.15,427.17,2.01
60.27,0.33,3.17,250.61,2.29
43.14,0.28,19.15,427.17,2.01
60.43,0.33,3.17,250.61,2.28
43.07,0.28,19.15,427.17,2.01
59.36,0.30,3.17,250.61,2.31
42.87,0.28,19.15,427.17,2.01
59.53,0.26,3.17,250.61,2.31
42.55,0.27,19.15,427.17,2.02
60.91,0.26,3.17,250.61,2.28
42.55,0.27,19.15,427.17,2.02
61.07,0.26,27.03,250.61,2.27
47.92,0.29,19.15,517.38,2.02
42.11,0.27,19.15,427.17,2.03
61.24,0.26,27.03,250.61,2.27
41.54,0.27,19.15,427.17,2.05
47.92,0.29,19.15,517.38,2.02
61.42,0.26,27.03,250.61,2.27
40.86,0.27,19.15,427.17,2.07
44.53,0.28,19.15,517.38,2.00
61.60,0.26,27.03,250.61,2.27
40.06,0.24,19.15,427.17,2.11
44.53,0.28,19.15,517.38,2.00
61.78,0.26,27.03,250.61,2.27
39.15,0.24,19.15,427.17,2.16
61.78,0.26,27.03,250.61,2.27
44.53,0.28,19.15,517.38,2.00
38.12,0.24,19.15,427.17,2.21
44.53,0.28,19.15,517.38,2.00
61.96,0.26,27.03,250.61,2.28
36.99,0.23,19.15,427.17,2.26
44.53,0.28,19.15,517.38,2.00
62.15,0.26,25.08,250.61,2.28
35.77,0.23,19.15,427.17,2.29
49.69,0.29,19.15,517.38,2.07
62.34,0.26,25.08,250.61,2.28
34.46,0.22,21.51,427.17,2.32
49.69,0.29,21.51,517.38,2.07
62.54,0.26,25.08,250.61,2.28
34.46,0.22,21.51,427.17,2.32
49.69,0.29,21.51,517.38,2.07
62.74,0.26,25.08,250.61,2.29
49.69,0.29,21.51,517.38,2.07
33.10,0.22,21.51,427.17,2.32
49.42,0.29,21.51,517.38,2.06
62.94,0.26,25.08,250.61,2.29
31.72,0.21,21.51,427.17,2.32
49.42,0.29,21.51,517.38,2.06
63.14,0.22,25.08,250.61,2.30
45.47,0.31,21.51,517.38,2.00
63.35,0.22,25.08,250.61,2.30
44.52,0.31,21.51,517.38,2.00
41.48,0.29,21.51,517.38,2.05
63.56,0.22,25.08,250.61,2.31
32.88,0.26,21.51,517.38,2.33
63.77,0.22,25.08,250.61,2.31
32.88,0.26,21.51,517.38,2.33
63.99,0.22,25.08,250.61,2.32
30.37,0.25,21.51,517.38,2.32
31.26,0.25,21.51,517.38,2.33
64.21,0.22,25.08,250.61,2.33
31.26,0.25,21.51,517.38,2.33
64.43,0.22,25.08,250.61,2.33
31.26,0.25,21.51,517.38,2.32
32.50,0.26,21.51,517.38,2.32
64.65,0.22,25.08,250.61,2.34
32.50,0.26,21.51,517.38,2.32
31.65,0.25,21.51,517.38,2.33
64.88,0.22,25.08,250.61,2.35
31.22,0.22,21.51,517.38,2.32
65.11,0.22,25.08,250.61,2.35
30.49,0.24,21.51,517.38,2.31
30.49,0.24,21.51,517.38,2.31
65.34,0.22,25.08,250.61,2.36
37.78,0.27,21.51,517.38,2.22
38.48,0.27,21.51,517.38,2.19
65.57,0.22,25.08,250.61,2.37
38.48,0.27,21.51,517.38,2.19
39.28,0.27,21.51,517.38,2.15
65.81,0.22,25.08,250.61,2.37
39.39,0.27,21.51,517.38,2.14
39.39,0.28,21.51,517.38,2.14
40.34,0.28,21.51,517.38,2.10
66.05,0.22,25.08,250.61,2.38
40.34,0.28,21.51,517.38,2.10
40.34,0.28,21.51,517.38,2.10
37.75,0.27,21.51,517.38,2.23
66.29,0.22,25.08,250.61,2.38
37.75,0.27,21.51,517.38,2.23
37.75,0.27,21.51,517.38,2.23
37.75,0.27,21.51,517.38,2.23
40.30,0.28,21.51,517.38,2.10
66.53,0.22,25.08,250.61,2.39
40.30,0.28,21.51,517.38,2.10
26.99,0.23,21.51,517.38,2.29
26.99,0.23,21.51,517.38,2.29
28.63,0.22,21.51,517.38,2.30
66.77,0.20,25.08,250.61,2.39
28.63,0.22,21.51,517.38,2.30
28.63,0.22,21.51,517.38,2.30
31.72,0.23,21.51,517.38,2.32
67.02,0.20,25.08,250.61,2.40
31.72,0.23,21.51,517.38,2.32
31.72,0.23,28.64,517.38,2.32
31.72,0.23,28.64,517.38,2.32
67.27,0.20,25.08,250.61,2.40
33.77,0.20,28.64,517.38,2.32
33.77,0.20,28.64,517.38,2.32
33.77,0.26,28.64,517.38,2.32
38.54,0.28,28.64,517.38,2.19
67.52,0.20,25.08,250.61,2.40
38.54,0.28,28.64,517.38,2.19
38.54,0.28,28.64,517.38,2.19
38.54,0.28,28.64,517.38,2.19
67.77,0.20,25.08,250.61,2.41
40.33,0.28,28.64,517.38,2.10
42.30,0.29,28.64,517.38,2.02
42.30,0.20,28.64,517.38,2.02
68.02,0.20,25.08,250.61,2.41
44.02,0.21,28.64,517.38,2.00
68.02,0.20,25.08,250.61,2.41
44.90,0.21,28.64,517.38,2.00
44.90,0.21,28.64,517.38,2.00
68.28,0.20,25.08,250.61,2.41
45.75,0.21,28.64,517.38,2.00
68.53,0.20,25.08,250.61,2.42
46.57,0.21,28.64,517.38,2.01
46.57,0.21,28.64,517.38,2.01
68.80,0.20,25.08,250.61,2.42
47.41,0.22,28.64,517.38,2.02
69.06,0.21,25.08,250.61,2.42
47.41,0.22,28.64,517.38,2.02
49.21,0.22,28.64,517.38,2.05
69.32,0.21,25.08,250.61,2.42
49.21,0.22,28.64,517.38,2.05
50.09,0.22,28.64,517.38,2.08
69.57,0.21,25.08,250.61,2.42
50.91,0.23,28.64,517.38,2.12
50.91,0.23,28.64,517.38,2.12
69.52,0.21,25.08,250.61,2.42
51.80,0.22,28.64,517.38,2.18
69.81,0.21,25.08,250.61,2.43
51.80,0.22,28.64,517.38,2.18
52.69,0.22,28.64,517.38,2.23
70.11,0.21,25.08,250.61,2.43
52.69,0.22,28.64,517.38,2.23
54.65,0.23,28.64,517.38,2.34
70.39,0.21,25.08,250.61,2.43
54.65,0.23,28.64,517.38,2.34
55.53,0.23,26.19,164.85,2.36
70.67,0.21,25.08,250.61,2.43
55.53,0.23,26.19,164.85,2.36
57.06,0.23,26.19,164.85,2.37
70.99,0.21,25.08,250.61,2.43
57.06,0.23,26.19,164.85,2.37
59.27,0.24,26.19,164.85,2.31
71.28,0.21,25.08,250.61,2.43
59.27,0.24,26.19,164.85,2.31
61.47,0.24,26.19,164.85,2.27
71.57,0.21,25.08,251.38,2.44
61.47,0.24,26.19,164.85,2.27
61.13,0.24,26.19,164.85,2.27
71.89,0.21,25.08,251.38,2.44
61.13,0.17,26.19,164.85,2.27
71.89,0.21,25.08,251.38,2.44
65.90,0.18,26.19,164.85,2.37
65.90,0.18,26.19,164.85,2.37
71.89,0.21,25.08,251.38,2.44
65.90,0.18,26.19,164.85,2.37
65.90,0.18,26.19,164.85,2.37
71.89,0.21,25.08,251.38,2.44
65.90,0.18,26.19,140.30,2.37
71.89,0.20,25.08,251.38,2.44
65.90,0.18,26.19,140.30,2.37
65.90,0.18,26.19,140.30,2.37
72.73,0.20,25.08,251.38,2.44
65.90,0.18,26.19,140.30,2.37
65.90,0.18,26.19,140.30,2.37
72.73,0.20,25.08,251.38,2.44
65.90,0.18,26.19,140.30,2.37
72.73,0.20,11.44,289.34,2.44
65.90,0.02,26.19,140.30,2.37
65.90,0.02,26.19,140.30,2.37
72.73,0.20,11.44,251.38,2.44
65.90,0.02,26.19,140.30,2.37
72.73,0.20,11.44,251.38,2.44
78.44,0.02,26.19,140.30,2.56
78.44,0.02,26.19,140.30,2.56
72.73,0.20,11.44,251.38,2.44
78.44,0.02,26.19,141.92,2.56
74.85,0.20,11.44,130.52,2.47
78.44,0.02,26.19,141.92,2.56
75.21,0.24,11.44,130.52,2.47
78.44,0.02,26.19,141.92,2.56
78.44,0.02,26.19,141.92,2.56
75.21,0.23,11.44,130.52,2.47
78.44,0.02,26.19,141.92,2.56
89.20,0.36,90.54,96.23,2.69
86.63,0.32,90.54,96.23,2.68
