# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
98.12,0.28,15.36,160.85,2.74
38.48,0.12,10.94,408.46,2.23
37.95,0.12,10.94,408.46,2.21
97.94,0.28,15.36,160.85,2.74
97.74,0.28,15.36,160.85,2.74
37.17,0.12,10.94,408.46,2.19
97.54,0.28,15.36,160.85,2.73
36.71,0.12,10.94,408.46,2.18
97.35,0.28,15.36,160.85,2.73
39.31,0.12,10.94,408.46,2.24
97.11,0.28,15.36,160.85,2.73
49.23,0.14,10.94,408.46,2.39
97.13,0.28,15.36,160.85,2.73
48.89,0.14,10.94,408.46,2.38
97.25,0.29,15.36,160.84,2.73
48.54,0.13,10.94,408.46,2.37
97.43,0.29,15.36,160.84,2.73
48.19,0.13,10.94,408.46,2.36
97.61,0.29,16.33,160.84,2.74
47.09,0.13,10.94,408.46,2.33
97.81,0.29,16.33,161.18,2.74
46.42,0.13,10.94,408.46,2.32
98.03,0.29,16.33,161.18,2.74
45.65,0.13,10.94,408.46,2.31
98.50,0.29,16.33,161.18,2.75
41.55,0.12,10.94,361.58,2.27
98.76,0.29,16.33,161.18,2.76
33.32,0.11,10.94,361.58,2.10
99.03,0.29,16.33,161.18,2.76
30.91,0.11,10.94,361.58,2.14
99.31,0.29,16.33,161.18,2.77
29.55,0.10,10.94,361.58,2.16
99.60,0.29,16.33,161.18,2.78
28.84,0.10,10.94,361.58,2.17
105.67,0.30,16.33,161.18,2.89
28.47,0.10,10.94,361.58,2.17
105.65,0.30,16.33,161.18,2.89
28.27,0.10,10.94,361.58,2.17
105.76,0.30,16.33,161.45,2.89
28.15,0.10,10.94,361.58,2.17
105.83,0.30,16.33,161.45,2.89
28.19,0.10,10.94,361.58,2.17
28.30,0.10,10.94,361.58,2.17
107.05,0.30,16.33,161.45,2.88
32.57,0.10,10.94,361.58,2.11
107.17,0.30,16.33,161.45,2.88
32.57,0.10,10.94,361.58,2.11
107.84,0.30,16.33,161.45,2.88
32.60,0.10,10.94,361.58,2.10
106.29,0.30,16.33,156.77,2.89
32.81,0.10,10.94,361.58,2.10
33.79,0.11,10.94,361.58,2.10
105.23,0.30,16.33,156.77,2.88
32.19,0.10,10.94,361.58,2.11
104.73,0.30,16.33,156.77,2.88
31.36,0.10,10.94,361.58,2.13
30.94,0.03,10.94,361.58,2.14
103.44,0.30,16.33,156.77,2.86
30.94,0.10,10.94,361.58,2.14
30.94,0.03,10.94,361.58,2.14
30.94,0.03,10.94,361.58,2.14
30.54,0.10,10.94,361.58,2.15
30.54,0.03,10.94,321.61,2.15
103.14,0.30,16.33,156.77,2.86
28.76,0.02,10.94,321.61,2.17
28.27,0.02,10.94,321.61,2.17
30.12,0.10,10.94,361.58,2.16
28.27,0.02,10.94,321.61,2.17
28.27,0.02,10.94,321.61,2.17
102.81,0.30,16.33,156.77,2.85
30.12,0.10,10.94,361.58,2.16
27.47,0.02,10.94,321.61,2.15
30.87,0.02,10.94,321.61,2.14
31.50,0.10,10.94,361.58,2.12
30.87,0.02,10.94,321.61,2.14
102.83,0.30,16.33,156.77,2.85
27.78,0.02,10.94,321.61,2.16
31.05,0.10,10.94,361.58,2.14
27.78,0.02,10.94,306.42,2.16
27.26,0.02,10.94,306.42,2.15
30.56,0.10,10.94,361.58,2.15
102.92,0.30,16.33,156.77,2.85
27.26,0.02,10.94,290.95,2.15
27.20,0.02,10.94,290.95,2.14
30.10,0.10,10.94,361.58,2.16
27.20,0.02,10.94,290.95,2.14
103.05,0.28,16.33,156.77,2.86
27.20,0.02,10.94,290.95,2.14
29.61,0.10,10.94,361.58,2.16
27.20,0.02,10.94,290.95,2.14
29.61,0.10,10.94,361.58,2.16
103.37,0.28,16.33,156.77,2.86
27.20,0.02,10.94,290.95,2.14
29.11,0.10,10.94,361.58,2.17
27.20,0.02,10.94,290.95,2.14
28.61,0.10,10.94,361.58,2.17
27.20,0.02,10.94,290.95,2.14
103.53,0.28,16.33,156.77,2.86
28.07,0.10,10.94,361.58,2.16
27.20,0.02,10.94,290.95,2.14
70.01,0.02,13.80,290.95,2.61
