# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
52.43,0.06,10.61,409.43,2.52
49.58,0.03,10.61,321.31,2.50
52.43,0.06,10.61,409.43,2.52
52.09,0.06,10.61,409.43,2.51
95.37,0.25,14.26,162.86,2.85
52.09,0.06,10.61,409.43,2.51
47.00,0.03,10.61,321.31,2.48
52.09,0.06,10.61,409.43,2.51
50.08,0.06,10.61,409.43,2.50
50.08,0.06,10.61,409.43,2.50
47.00,0.03,10.61,321.31,2.48
50.08,0.06,10.61,321.31,2.50
49.80,0.06,10.61,321.31,2.50
49.80,0.06,10.61,321.31,2.50
46.45,0.03,10.61,277.17,2.48
48.13,0.05,10.61,321.31,2.49
95.65,0.25,14.26,162.86,2.85
47.69,0.05,10.61,321.31,2.49
46.00,0.03,10.61,277.17,2.47
47.69,0.05,10.61,321.31,2.49
47.69,0.05,10.61,321.31,2.49
47.19,0.05,10.61,321.31,2.48
45.41,0.03,10.61,277.17,2.47
47.19,0.05,10.61,321.31,2.48
44.85,0.05,10.61,277.17,2.46
96.86,0.25,14.26,162.86,2.84
44.85,0.03,10.61,277.17,2.46
44.85,0.05,10.61,277.17,2.46
44.85,0.00,10.61,277.17,2.46
44.85,0.00,10.61,277.17,2.46
44.32,0.03,10.61,277.17,2.46
43.78,0.03,10.61,277.17,2.45
97.96,0.25,14.26,162.86,2.83
43.24,0.03,10.61,277.17,2.44
42.70,0.03,10.61,277.17,2.43
98.63,0.25,14.26,162.86,2.82
42.14,0.03,10.61,277.17,2.42
41.57,0.03,10.61,277.17,2.41
98.98,0.25,14.26,162.86,2.81
41.02,0.03,10.61,277.17,2.39
40.47,0.03,10.61,277.17,2.38
39.91,0.03,10.61,277.17,2.36
99.33,0.25,14.26,162.86,2.80
39.34,0.03,10.61,277.17,2.34
38.76,0.03,10.61,277.17,2.33
102.73,0.25,14.26,162.86,2.69
38.18,0.03,10.61,277.17,2.31
37.65,0.03,10.61,277.17,2.29
37.07,0.03,10.61,277.17,2.28
108.16,0.25,14.26,162.86,2.37
36.13,0.03,10.61,277.17,2.25
37.12,0.03,10.61,277.17,2.28
108.95,0.25,14.26,162.86,2.31
37.12,0.03,10.61,277.17,2.28
36.66,0.03,10.61,277.17,2.27
108.93,0.26,14.26,162.86,2.31
36.41,0.03,10.61,277.17,2.26
36.19,0.03,10.61,277.17,2.25
36.00,0.03,10.61,277.17,2.25
108.98,0.26,14.26,162.86,2.31
35.82,0.03,10.61,277.17,2.25
35.64,0.03,10.61,277.17,2.24
109.25,0.26,14.26,162.86,2.29
35.44,0.03,10.61,277.17,2.24
35.19,0.03,10.61,277.17,2.24
109.46,0.26,14.26,162.86,2.28
35.19,0.03,10.61,277.17,2.24
34.86,0.03,10.61,277.17,2.23
34.45,0.03,10.61,277.17,2.22
109.29,0.21,14.26,162.86,2.28
33.90,0.03,10.61,277.17,2.22
33.19,0.03,10.61,277.17,2.21
109.35,0.21,14.26,162.86,2.28
32.25,0.03,10.61,277.17,2.20
32.25,0.03,10.61,277.17,2.20
32.46,0.03,10.61,277.17,2.20
109.68,0.21,14.26,162.86,2.25
30.52,0.03,10.61,277.17,2.18
28.12,0.03,10.61,277.17,2.14
28.12,0.03,10.61,277.17,2.14
109.90,0.21,14.26,162.86,2.24
25.21,0.03,10.61,277.17,2.06
20.02,0.03,10.61,277.17,2.01
20.02,0.03,10.61,277.17,2.01
110.03,0.21,14.26,162.86,2.23
16.45,0.02,10.61,277.17,2.00
15.80,0.02,10.61,277.17,1.98
15.14,0.02,10.61,277.17,1.94
110.17,0.21,14.26,162.86,2.24
15.14,0.02,10.61,277.17,1.94
14.49,0.02,10.61,277.17,1.90
13.91,0.02,10.61,277.17,1.87
109.18,0.21,14.26,162.86,2.29
13.38,0.02,10.61,277.17,1.82
12.38,0.02,10.61,277.17,1.76
11.69,0.02,10.61,277.17,1.72
106.83,0.21,14.26,162.86,2.46
11.04,0.02,10.61,277.17,1.68
11.04,0.02,10.61,277.17,1.68
10.42,0.02,10.61,277.17,1.65
105.60,0.21,14.26,155.12,2.54
9.89,0.02,10.61,277.17,1.62
9.89,0.01,10.61,277.17,1.62
7.55,0.01,10.61,277.17,1.55
105.87,0.21,14.26,155.12,2.53
7.55,0.01,10.61,277.17,1.55
7.47,0.01,10.61,277.17,1.53
7.47,0.01,10.61,277.17,1.53
6.87,0.01,10.61,624.22,1.51
6.87,0.01,10.61,624.22,1.51
105.31,0.21,10.20,157.44,2.56
