# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.089022,16.346060,436.629578,2.278253
0.057838,60.453709,626.897949,2.506215
0.088014,16.346060,436.629578,2.278253
0.087006,16.346060,436.629578,2.278253
0.086768,14.497112,416.889526,2.238243
0.094109,14.497112,416.889526,2.238243
0.057755,53.695972,626.897949,2.506215
0.093125,14.497112,416.889526,2.238243
0.092140,21.513540,480.172424,2.238243
0.057806,53.695972,626.897949,2.502810
0.091154,21.513540,480.172424,2.238243
0.090167,21.513540,480.172424,2.238243
0.030711,10.942439,364.163361,2.504933
0.038019,10.942439,364.163361,2.504933
0.031420,10.942439,364.163361,2.504933
0.037410,10.942439,364.163361,2.504933
0.032129,10.942439,364.163361,2.504933
0.089910,20.785894,455.659210,2.270114
0.034044,14.109692,385.642456,2.506032
0.036800,8.739097,341.650116,2.504933
0.034778,14.109692,385.642456,2.506032
0.036190,8.739097,341.650116,2.504933
0.035512,14.109692,385.642456,2.506032
0.036245,14.109692,385.642456,2.506032
0.035580,8.739097,341.650116,2.504933
0.036978,14.109692,385.642456,2.506032
0.034969,8.739097,341.650116,2.504933
0.039112,16.667265,405.528717,2.393477
0.057722,53.695972,626.897949,2.502810
0.039871,16.667265,405.528717,2.393477
0.033988,8.739097,341.650116,2.491135
0.040630,16.667265,405.528717,2.393477
0.033384,8.739097,341.650116,2.491135
0.041388,16.667265,405.528717,2.393477
0.088913,20.785894,455.659210,2.270114
0.042146,16.667265,405.528717,2.393477
0.032778,8.004632,313.338531,2.491135
0.042903,18.083525,428.047607,2.393477
0.032173,8.004632,313.338531,2.491135
0.045081,18.083525,428.047607,2.264189
0.045862,18.083525,428.047607,2.264189
0.057789,20.785894,455.659210,2.270114
0.046643,18.083525,428.047607,2.264189
0.057000,20.785894,455.659210,2.270114
0.056211,20.785894,455.659210,2.270114
0.047457,18.083525,428.047607,2.270114
0.055421,18.083525,428.047607,2.270114
0.046031,8.004632,313.338531,2.491135
0.045372,8.004632,313.338531,2.491135
0.002613,15.125844,259.889618,2.507220
0.044712,8.004632,313.338531,2.491135
0.003313,15.125844,259.889618,2.507220
0.057637,53.695972,626.897949,2.502810
0.044052,8.764178,271.046173,2.491135
0.004013,8.764178,271.046173,2.507220
0.043919,8.764178,271.046173,2.507220
0.004712,8.764178,271.046173,2.507220
0.043251,8.764178,271.046173,2.507220
0.005412,8.764178,271.046173,2.507220
0.057687,53.695972,626.897949,2.499274
0.057601,53.695972,626.897949,2.499274
0.057514,53.695972,626.897949,2.499274
0.060587,53.695972,626.897949,2.353672
0.060500,53.695972,626.897949,2.353672
0.060413,53.695972,626.897949,2.353672
0.060324,53.695972,626.897949,2.353672
0.059515,53.695972,626.897949,2.203542
0.059426,53.695972,626.897949,2.203542
0.059337,53.695972,626.897949,2.203542
0.064349,53.695972,626.897949,2.514112
0.064251,53.695972,626.897949,2.514112
0.064152,53.695972,626.897949,2.514112
0.055287,53.695972,626.897949,2.083216
0.055200,53.695972,626.897949,2.083216
0.055113,53.695972,626.897949,2.083216
0.053922,53.695972,626.897949,2.032951
0.053836,53.695972,626.897949,2.032951
0.053748,53.695972,626.897949,2.032951
0.052637,53.695972,626.897949,2.008359
0.052550,53.695972,626.897949,2.008359
0.052463,53.695972,626.897949,2.008359
0.053289,53.695972,626.897949,2.029678
0.055393,53.695972,626.897949,2.029678
0.055300,53.695972,626.897949,2.029678
0.054329,53.695972,626.897949,2.009225
0.054236,53.695972,626.897949,2.009225
0.054143,53.695972,626.897949,2.009225
0.054049,53.695972,626.897949,2.009225
0.053085,53.695972,626.897949,2.002907
0.052991,53.695972,626.897949,2.002907
0.052897,53.695972,626.897949,2.002907
0.051392,53.695972,560.607483,2.004951
0.051299,53.695972,560.607483,2.004951
