# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.032175,-0.018785,416.285675,2.461127
0.141039,0.230395,61.393387,0.738416
0.031653,-0.018785,416.285675,2.461127
0.030305,-0.018785,416.285675,2.454765
0.141363,0.230395,61.393387,0.738667
0.029797,-0.018785,416.285675,2.454765
0.029289,-0.018785,416.285675,2.454765
0.141756,0.230395,61.393387,0.739031
0.026475,-0.018785,416.285675,2.362376
0.026007,-0.018785,416.285675,2.362376
0.141922,0.230395,61.393387,0.739031
0.024699,-0.018785,220.473724,2.311404
0.024246,-0.018785,220.473724,2.311404
0.142380,0.230395,61.393387,0.739504
0.023792,-0.018785,220.473724,2.311404
0.022586,-0.018785,220.473724,2.265734
0.142885,0.230395,61.393387,0.740056
0.022146,-0.018785,220.473724,2.265734
0.021706,-0.018785,220.473724,2.265734
0.143047,0.230395,61.393387,0.740056
0.020472,-0.018785,220.473724,2.224658
0.018413,9.257495,220.473724,2.158031
0.143572,0.230395,61.393387,0.740645
0.017249,9.257495,220.473724,2.129949
0.016876,9.257495,220.473724,2.129949
0.145023,0.230395,61.393387,0.742744
0.016502,9.257495,220.473724,2.129949
0.145987,0.230395,61.393387,0.744068
0.015295,9.257495,220.473724,2.097000
0.018294,9.257495,220.473724,2.097000
0.017959,9.257495,220.473724,2.097000
0.146145,0.230395,61.393387,0.744068
0.016724,9.257495,220.473724,2.062764
0.014510,9.257495,220.473724,1.984909
0.147944,0.230395,61.393387,0.746816
0.013457,9.257495,220.473724,1.949080
0.013191,9.257495,220.473724,1.949080
0.148419,0.230395,61.393387,0.747332
0.012925,9.257495,220.473724,1.949080
0.011905,9.257495,220.473724,1.910672
0.148609,0.230395,61.393387,0.747393
0.011654,9.257495,220.473724,1.910672
0.010679,9.257495,220.473724,1.867709
0.148789,0.230395,61.393387,0.747440
0.010444,9.257495,220.473724,1.867709
0.010209,9.257495,220.473724,1.867709
0.148972,0.230395,61.393387,0.747493
0.007325,9.257495,198.262787,1.669512
0.004532,9.257495,198.262787,1.669512
0.149986,0.230395,61.393387,0.748957
0.003886,9.257495,198.262787,1.569708
0.003871,9.257495,198.262787,1.569708
0.150166,0.230395,61.393387,0.749010
0.002975,9.257495,198.262787,1.406493
0.002963,9.257495,198.262787,1.406493
0.150313,0.230395,61.393387,0.749010
0.002952,9.257495,198.262787,1.406493
0.003397,9.257495,202.524811,1.318304
0.150498,0.230395,61.393387,0.749077
0.003383,9.257495,202.524811,1.318304
0.007733,9.257495,202.524811,2.036962
0.008483,9.257495,202.524811,2.093242
0.150675,0.230395,61.393387,0.749137
0.008708,9.257495,202.524811,2.112581
0.008672,9.257495,202.524811,2.112581
0.146834,0.230395,61.393387,0.749214
0.008888,9.257495,202.524811,2.130818
0.008851,9.257495,170.902191,2.130818
0.147007,0.230395,61.393387,0.749286
0.009057,9.257495,170.902191,2.148503
