# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
44.35,0.15,4.79,495.53,2.46
44.35,0.06,4.79,495.53,2.46
44.01,0.06,4.79,495.53,2.46
43.45,0.07,4.79,495.53,2.46
43.45,0.07,4.79,495.53,2.46
42.92,0.07,4.79,495.53,2.45
42.38,0.07,4.79,495.53,2.45
41.83,0.07,4.79,495.53,2.44
98.90,0.24,5.10,164.49,2.57
41.29,0.07,4.79,495.53,2.44
40.66,0.07,4.79,495.53,2.44
40.00,0.07,4.79,495.53,2.43
39.33,0.07,4.79,495.53,2.42
38.65,0.07,4.79,495.53,2.42
38.65,0.07,4.79,495.53,2.42
37.98,0.07,4.79,495.53,2.41
37.31,0.07,4.79,495.53,2.40
36.61,0.07,4.79,495.53,2.38
101.17,0.24,5.10,164.49,2.43
35.91,0.07,4.79,495.53,2.37
35.91,0.07,4.79,495.53,2.37
35.26,0.07,4.79,495.53,2.35
34.59,0.07,4.79,495.53,2.33
33.92,0.07,4.79,495.53,2.31
33.18,0.07,4.79,495.53,2.29
32.51,0.07,4.79,495.53,2.27
32.51,0.07,4.79,495.53,2.27
31.83,0.07,4.79,495.53,2.24
102.48,0.24,5.10,164.49,2.33
31.14,0.07,4.79,495.53,2.22
30.56,0.07,4.79,495.53,2.21
30.35,0.07,4.79,495.53,2.20
30.22,0.06,4.79,495.53,2.20
30.22,0.06,4.79,495.53,2.20
30.06,0.06,4.79,495.53,2.20
29.88,0.06,4.79,495.53,2.19
31.45,0.06,1.11,495.53,2.23
103.80,0.24,5.10,164.49,2.23
31.45,0.06,1.11,495.53,2.23
31.29,0.06,1.11,495.53,2.23
30.94,0.06,1.11,495.53,2.22
30.29,0.06,1.11,495.53,2.20
30.29,0.06,1.11,495.53,2.20
29.23,0.08,1.11,495.53,2.18
27.67,0.07,1.11,495.53,2.16
25.60,0.07,1.11,495.53,2.13
104.92,0.24,5.10,164.49,2.15
25.60,0.07,1.11,495.53,2.13
23.07,0.07,1.11,495.53,2.09
19.92,0.06,1.11,495.53,2.01
19.92,0.06,1.11,495.53,2.01
15.20,0.05,1.11,495.53,1.90
9.00,0.04,1.11,418.10,1.83
8.09,0.04,1.11,418.10,1.74
8.09,0.04,1.11,418.10,1.74
106.04,0.25,5.67,164.49,2.09
7.19,0.03,1.11,418.10,1.65
6.40,0.03,1.11,418.10,1.58
6.40,0.03,1.11,391.94,1.58
5.64,0.03,1.11,391.94,1.52
4.74,0.03,1.11,391.94,1.45
5.34,0.02,1.11,391.94,1.50
4.54,0.02,1.11,391.94,1.43
106.79,0.25,5.67,164.49,2.06
3.84,0.02,1.11,391.94,1.38
3.84,0.02,1.11,391.94,1.38
3.17,0.01,1.11,391.94,1.32
3.17,0.01,1.11,391.94,1.32
2.58,0.01,1.11,391.94,1.26
2.58,0.01,1.11,391.94,1.26
2.36,0.01,1.11,391.94,1.24
2.36,0.01,1.11,391.94,1.24
1.81,0.01,1.11,391.94,1.17
107.73,0.25,5.67,158.67,2.04
1.81,0.01,1.11,391.94,1.17
1.37,0.01,1.11,391.94,1.09
1.37,0.01,1.11,391.94,1.09
0.95,0.01,1.11,391.94,1.00
0.95,0.01,1.11,391.94,1.00
0.95,0.01,1.11,391.94,1.00
0.51,0.00,1.11,391.94,0.84
0.51,0.00,1.11,391.94,0.84
108.29,0.25,5.67,158.67,2.03
0.12,0.00,1.11,391.94,0.42
0.12,0.00,1.11,391.94,0.42
0.23,0.00,1.11,624.22,0.55
2.90,0.01,1.11,624.22,1.29
2.90,0.01,1.11,624.22,1.29
2.90,0.01,1.11,624.22,1.29
6.00,0.01,1.11,624.22,1.55
6.00,0.01,1.11,624.22,1.55
13.10,0.05,1.11,624.22,1.91
109.04,0.25,5.67,158.67,2.02
17.88,0.06,1.11,624.22,1.93
17.88,0.06,1.11,624.22,1.93
21.82,0.08,1.11,624.22,2.06
24.94,0.08,1.11,624.22,2.12
24.94,0.08,1.11,624.22,2.12
27.48,0.09,1.11,624.22,2.15
108.75,0.25,5.67,158.67,2.02
27.48,0.09,1.11,624.22,2.15
28.81,0.09,1.11,624.22,2.17
28.81,0.09,1.11,624.22,2.17
29.55,0.09,1.11,624.22,2.19
109.12,0.25,5.67,158.67,2.02
30.31,0.09,1.11,624.22,2.20
30.31,0.09,1.11,624.22,2.20
31.18,0.10,1.11,624.22,2.23
31.18,0.10,1.11,624.22,2.23
109.69,0.25,5.67,158.67,2.02
33.12,0.10,1.11,624.22,2.29
33.12,0.10,1.11,624.22,2.29
33.81,0.10,1.11,624.22,2.31
33.81,0.10,1.11,624.22,2.31
110.06,0.25,5.67,158.67,2.02
35.76,0.10,1.11,624.22,2.36
35.76,0.11,1.11,624.22,2.36
37.71,0.11,1.11,624.22,2.40
110.25,0.25,5.67,158.67,2.02
39.66,0.12,1.11,624.22,2.43
39.66,0.12,1.11,624.22,2.43
41.48,0.12,1.11,624.22,2.44
110.62,0.25,5.67,158.67,2.02
41.48,0.12,1.11,624.22,2.44
43.06,0.12,1.11,624.22,2.45
43.06,0.12,1.11,624.22,2.45
110.15,0.25,5.67,158.67,2.02
44.62,0.13,1.11,624.22,2.47
44.62,0.13,1.11,624.22,2.47
110.33,0.25,5.67,162.62,2.02
46.19,0.13,1.11,624.22,2.48
46.19,0.13,1.11,624.22,2.48
47.74,0.13,1.11,624.22,2.49
110.52,0.25,5.67,162.62,2.02
49.32,0.14,1.11,624.22,2.50
49.32,0.14,1.11,624.22,2.50
110.71,0.25,5.67,162.62,2.02
50.85,0.14,1.11,624.22,2.51
110.89,0.25,5.67,162.62,2.02
50.21,0.15,1.11,624.22,2.50
51.81,0.15,1.11,624.22,2.51
111.08,0.25,5.67,162.62,2.01
51.81,0.15,1.11,624.22,2.51
53.45,0.15,1.11,624.22,2.52
110.80,0.25,5.67,162.62,2.02
53.45,0.15,1.11,624.22,2.52
110.85,0.25,5.67,162.62,2.02
55.06,0.16,1.11,624.22,2.53
110.85,0.25,5.67,162.62,2.02
55.06,0.16,1.11,624.22,2.53
56.70,0.16,1.11,624.22,2.54
58.29,0.16,1.11,624.22,2.55
110.94,0.20,5.67,162.62,2.01
58.29,0.16,1.11,624.22,2.55
59.95,0.16,1.11,624.22,2.56
59.95,0.16,1.11,624.22,2.56
111.05,0.20,5.67,162.62,2.01
61.58,0.16,1.11,624.22,2.57
61.58,0.16,9.58,624.22,2.57
63.19,0.16,9.58,624.22,2.58
111.33,0.20,5.67,162.62,2.01
63.19,0.16,9.58,624.22,2.58
64.84,0.16,9.58,624.22,2.58
110.01,0.20,5.67,162.62,2.02
64.84,0.16,9.58,624.22,2.58
66.45,0.16,9.58,624.22,2.59
66.45,0.16,9.58,624.22,2.59
110.07,0.20,5.67,162.62,2.02
68.13,0.16,9.58,624.22,2.60
68.13,0.16,9.58,5729.43,2.60
110.21,0.20,5.67,162.62,2.02
69.76,0.17,9.58,5729.43,2.61
69.76,0.17,9.58,5729.43,2.61
72.66,0.17,9.58,5729.43,2.62
110.28,0.20,5.67,162.62,2.02
72.66,0.17,9.58,5729.43,2.62
72.12,0.17,9.58,5729.43,2.62
110.35,0.20,5.67,162.93,2.02
72.12,0.17,9.58,5729.43,2.62
75.14,0.17,9.58,6635.90,2.63
110.42,0.20,5.67,162.93,2.02
75.14,0.18,9.58,6635.90,2.63
79.23,0.18,9.58,6635.90,2.66
110.50,0.20,5.67,162.93,2.02
79.23,0.18,9.58,6635.90,2.66
84.65,0.18,9.58,6635.90,2.76
109.48,0.20,5.67,162.93,2.02
84.65,0.18,9.58,6635.90,2.76
91.48,0.19,9.58,6635.90,2.81
109.57,0.20,5.67,162.93,2.02
91.48,0.19,9.58,6635.90,2.81
99.43,0.19,9.58,6635.90,2.53
109.67,0.20,5.67,162.85,2.02
99.43,0.19,9.58,6635.90,2.53
108.24,0.20,10.73,6635.90,2.05
109.77,0.20,5.67,162.78,2.02
108.24,0.20,10.73,6635.90,2.05
117.50,0.20,10.73,6024.21,1.70
109.87,0.20,5.45,162.73,2.02
117.50,0.20,10.73,6024.21,1.70
109.97,0.20,5.45,162.71,2.02
126.88,0.21,10.73,6024.21,0.77
126.88,0.21,10.73,6024.21,0.77
108.94,0.20,5.45,162.72,2.02
136.26,0.21,10.73,6024.21,0.81
109.06,0.20,5.45,162.65,2.02
136.26,0.21,10.73,6024.21,0.81
145.62,0.21,10.73,6024.21,0.78
109.19,0.20,5.45,162.59,2.02
