# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
32.21,0.05,78.81,2156.33,2.00
15.62,0.01,25.48,335.24,1.58
115.05,0.01,29.89,196.60,2.55
15.62,0.01,25.48,335.24,1.58
32.21,0.05,78.81,2156.33,2.00
115.05,0.02,29.89,196.60,2.55
15.62,0.01,25.48,335.24,1.58
31.60,0.04,78.81,2156.33,1.99
15.62,0.01,21.51,390.94,1.58
115.05,0.02,30.17,208.24,2.55
15.62,0.01,21.51,390.94,1.58
115.05,0.03,25.33,235.75,2.55
31.60,0.06,78.81,2156.33,1.99
115.05,0.03,25.33,235.75,2.55
79.61,0.02,21.51,390.94,2.62
115.05,0.03,25.33,235.75,2.55
115.05,0.04,25.33,235.75,2.55
79.46,0.02,21.51,390.94,2.62
31.60,0.06,78.81,2156.33,1.99
115.05,0.05,25.33,235.75,2.55
115.05,0.05,25.33,235.75,2.55
79.46,0.01,21.51,390.94,2.62
115.05,0.04,25.33,235.75,2.55
115.05,0.04,25.33,235.75,2.55
32.08,0.06,78.81,2156.33,2.00
115.05,0.04,15.59,280.02,2.55
79.46,0.09,18.14,479.19,2.62
115.05,0.06,15.59,280.02,2.55
115.05,0.06,15.59,280.02,2.55
79.46,0.09,18.14,479.19,2.62
115.05,0.05,15.59,280.02,2.55
115.05,0.05,15.59,280.02,2.55
32.08,0.06,78.81,2156.33,2.00
114.38,0.06,14.15,294.41,2.54
114.38,0.05,15.59,280.02,2.54
114.38,0.06,14.15,294.41,2.54
114.38,0.06,14.15,294.41,2.54
114.38,0.06,14.15,294.41,2.54
79.46,0.09,18.14,479.19,2.62
114.38,0.06,14.15,294.41,2.54
114.38,0.06,14.15,294.41,2.54
79.46,0.09,18.14,479.19,2.62
113.72,0.07,14.91,304.26,2.51
32.08,0.06,78.81,2156.33,2.00
113.72,0.07,14.91,304.26,2.51
113.72,0.07,14.91,304.26,2.51
79.46,0.09,18.14,479.19,2.62
113.72,0.07,14.91,304.26,2.51
113.72,0.07,14.91,304.26,2.51
79.46,0.16,18.14,479.19,2.62
32.08,0.06,78.81,2156.33,2.00
113.72,0.07,14.91,304.26,2.51
79.46,0.16,18.14,479.19,2.62
112.98,0.07,11.67,334.32,2.48
112.98,0.07,11.67,334.32,2.48
78.11,0.15,17.17,592.07,2.61
112.98,0.08,11.67,334.32,2.48
78.11,0.15,17.17,592.07,2.61
112.98,0.08,11.67,334.32,2.48
31.39,0.06,83.38,2156.33,1.99
112.98,0.08,11.67,334.32,2.48
78.11,0.14,17.17,592.07,2.61
112.33,0.08,10.39,346.56,2.45
78.11,0.14,17.17,592.07,2.61
112.33,0.08,10.39,346.56,2.45
78.11,0.14,17.17,592.07,2.61
112.33,0.08,10.39,346.56,2.45
31.39,0.06,83.38,2156.33,1.99
112.33,0.08,10.39,346.56,2.45
78.11,0.14,17.17,592.07,2.61
112.33,0.08,10.39,346.56,2.45
78.11,0.13,17.17,592.07,2.61
112.33,0.08,10.39,346.56,2.45
111.68,0.09,10.22,357.02,2.42
76.66,0.15,15.42,559.02,2.59
78.11,0.13,14.83,583.75,2.61
76.66,0.14,15.42,559.02,2.59
111.68,0.09,10.22,357.02,2.42
82.42,0.15,10.86,577.16,2.60
76.66,0.14,15.42,559.02,2.59
78.32,0.14,14.83,583.75,2.61
111.68,0.09,10.22,357.02,2.42
31.39,0.06,83.38,2156.33,1.99
82.42,0.15,10.86,577.16,2.60
78.32,0.14,14.83,583.75,2.61
111.68,0.09,10.22,357.02,2.42
78.32,0.14,14.83,583.75,2.61
76.66,0.14,15.42,559.02,2.59
82.42,0.15,10.86,577.16,2.60
78.32,0.14,14.83,583.75,2.61
111.68,0.09,10.22,357.02,2.42
78.32,0.14,14.83,583.75,2.61
76.66,0.14,15.42,559.02,2.59
82.42,0.15,10.86,577.16,2.60
76.66,0.14,15.42,559.02,2.59
111.02,0.09,9.71,371.69,2.39
82.42,0.15,10.86,577.16,2.60
110.94,0.09,9.93,407.02,2.39
77.44,0.15,307.56,623.81,2.60
110.94,0.10,9.93,407.02,2.39
77.44,0.15,307.56,623.81,2.60
77.44,0.15,307.56,623.81,2.60
110.94,0.10,9.93,407.02,2.39
77.44,0.14,307.56,623.81,2.60
110.94,0.10,9.93,407.02,2.39
77.44,0.14,307.56,623.81,2.60
31.79,0.06,83.38,2156.33,2.00
74.37,0.14,105.44,604.58,2.52
104.15,0.10,10.91,426.96,2.35
74.37,0.14,105.44,604.58,2.52
70.58,0.12,22.14,600.60,2.37
104.15,0.10,10.91,426.96,2.35
71.32,0.13,153.50,602.42,2.39
70.58,0.13,22.14,600.60,2.37
71.32,0.13,153.50,602.42,2.39
74.37,0.14,105.44,604.58,2.52
71.32,0.13,153.50,602.42,2.39
71.32,0.13,153.50,602.42,2.39
71.32,0.13,153.50,602.42,2.39
74.37,0.14,105.44,604.58,2.52
104.15,0.10,10.91,426.96,2.35
72.50,0.13,68.47,602.46,2.44
70.58,0.13,22.14,600.60,2.37
72.50,0.13,68.47,602.46,2.44
72.50,0.13,68.47,602.46,2.44
72.50,0.13,68.47,602.46,2.44
74.37,0.14,105.44,604.58,2.52
72.50,0.13,68.47,602.46,2.44
74.37,0.14,105.44,604.58,2.52
70.58,0.13,22.14,600.60,2.37
104.15,0.10,10.91,426.96,2.35
70.58,0.13,22.14,600.60,2.37
104.15,0.10,10.91,426.96,2.35
70.58,0.13,21.86,589.74,2.37
91.13,0.10,11.23,446.87,2.60
70.58,0.12,21.86,589.74,2.37
91.13,0.10,11.23,446.87,2.60
79.83,0.13,21.86,589.74,2.62
91.13,0.10,11.23,446.87,2.60
31.79,0.06,83.38,2156.33,2.00
79.83,0.11,21.86,589.74,2.62
91.13,0.10,11.23,446.87,2.60
