# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
36.01,0.08,62.88,1214.07,2.12
53.61,0.31,25.06,1467.88,2.42
36.01,0.08,59.79,1180.47,2.12
36.01,0.08,59.79,1180.47,2.12
53.61,0.31,25.06,1467.88,2.42
36.01,0.08,61.85,1132.82,2.12
53.16,0.31,25.06,1467.88,2.46
36.01,0.08,61.85,1132.82,2.12
37.62,0.08,61.85,1132.82,2.19
48.58,0.29,25.06,1467.88,2.39
37.62,0.08,72.29,1195.47,2.19
37.62,0.07,72.29,1195.47,2.19
48.58,0.29,25.06,1351.30,2.39
37.62,0.07,72.29,1195.47,2.19
44.95,0.28,25.06,1351.30,2.32
37.85,0.07,80.26,1193.25,2.20
37.85,0.07,80.26,1193.25,2.20
43.73,0.28,25.06,1351.30,2.31
37.85,0.06,87.98,1136.18,2.20
37.85,0.06,87.98,1136.18,2.20
43.73,0.28,25.06,1351.30,2.31
37.85,0.06,87.98,1136.18,2.20
37.85,0.06,97.09,1063.77,2.20
40.16,0.27,25.06,1351.30,2.27
37.85,0.05,97.09,1063.77,2.20
37.85,0.05,97.09,1063.77,2.20
40.11,0.27,25.06,1281.02,2.26
37.61,0.05,65.42,1400.91,2.19
37.61,0.06,65.42,1400.91,2.19
40.11,0.27,25.06,1281.02,2.26
37.61,0.06,65.42,1400.91,2.19
37.38,0.06,70.20,1376.49,2.18
39.76,0.27,25.06,1202.26,2.25
37.38,0.06,70.20,1376.49,2.18
37.38,0.06,70.20,1376.49,2.18
41.95,0.27,25.06,1133.52,2.29
37.16,0.05,73.73,1383.73,2.17
37.16,0.07,73.73,1383.73,2.17
41.95,0.27,25.06,1133.52,2.29
37.16,0.07,73.73,1383.73,2.17
36.94,0.07,76.76,1420.10,2.16
41.21,0.27,25.06,1065.98,2.28
36.94,0.07,76.76,1420.10,2.16
39.42,0.27,25.06,1050.89,2.25
36.73,0.07,79.06,1493.10,2.15
36.92,0.07,79.06,1493.10,2.16
39.42,0.27,25.06,1050.89,2.25
36.92,0.07,79.38,1586.19,2.16
38.97,0.26,25.06,1044.40,2.24
36.92,0.07,79.38,1586.19,2.16
36.92,0.07,79.38,1586.19,2.16
38.57,0.26,25.06,1012.78,2.22
36.92,0.07,79.38,1701.39,2.16
38.57,0.26,25.06,1012.78,2.22
36.92,0.07,79.38,1701.39,2.16
36.92,0.07,79.38,1701.39,2.16
38.16,0.26,25.06,980.87,2.21
37.53,0.07,79.38,1701.39,2.19
38.16,0.26,25.06,980.87,2.21
37.53,0.07,79.38,1701.39,2.19
37.53,0.07,79.38,1701.39,2.19
37.94,0.26,25.06,980.87,2.20
38.31,0.02,79.38,1701.39,2.21
37.70,0.26,25.06,980.87,2.19
37.55,0.03,79.38,1701.39,2.19
37.55,0.03,79.38,1701.39,2.19
37.70,0.26,25.06,980.87,2.19
37.55,0.03,79.38,1701.39,2.19
37.29,0.03,79.38,1701.39,2.18
37.46,0.26,25.06,980.87,2.18
37.29,0.03,79.38,1701.39,2.18
37.25,0.26,25.06,980.87,2.17
37.07,0.03,79.38,1701.39,2.17
37.07,0.04,79.38,1701.39,2.17
