# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
41.74,0.03,2.45,828.36,2.20
49.56,0.07,2.45,901.32,2.31
84.77,0.33,17.05,726.57,2.67
41.54,0.03,2.45,801.91,2.20
41.54,0.03,2.45,801.91,2.20
49.93,0.07,2.45,855.45,2.32
84.65,0.33,17.05,726.57,2.67
41.06,0.03,2.45,763.92,2.22
44.44,0.03,2.45,788.55,2.19
44.44,0.03,2.45,788.55,2.19
44.44,0.03,2.45,788.55,2.19
44.44,0.03,2.45,788.55,2.19
84.65,0.33,17.05,726.57,2.67
44.81,0.03,2.45,720.15,2.19
49.73,0.06,2.45,742.64,2.32
44.81,0.02,2.45,720.15,2.19
49.73,0.02,2.45,742.64,2.32
49.73,0.02,2.45,742.64,2.32
84.56,0.33,17.05,726.57,2.67
51.62,0.07,2.45,689.87,2.34
84.50,0.33,17.05,726.57,2.67
55.27,0.07,2.45,637.60,2.36
84.52,0.33,17.05,726.57,2.67
84.64,0.33,17.05,726.57,2.67
57.81,0.07,2.45,589.26,2.40
84.87,0.33,17.05,726.57,2.67
56.50,0.07,2.45,516.96,2.38
85.19,0.33,18.11,726.57,2.67
85.53,0.33,18.11,726.57,2.67
55.78,0.07,2.45,498.14,2.37
85.88,0.33,18.11,817.95,2.67
55.13,0.07,2.45,487.26,2.36
85.88,0.33,18.11,817.95,2.67
86.24,0.34,18.88,817.95,2.67
54.39,0.07,2.45,476.25,2.36
86.64,0.34,18.88,817.95,2.68
53.01,0.07,2.45,476.25,2.35
87.33,0.34,18.88,817.95,2.68
52.32,0.06,2.45,476.25,2.34
87.67,0.34,18.88,817.95,2.68
87.71,0.37,18.88,817.95,2.68
51.58,0.06,2.45,476.25,2.34
87.76,0.37,18.88,817.95,2.68
50.90,0.06,2.45,476.25,2.33
87.76,0.37,18.88,817.95,2.68
87.81,0.37,18.88,817.95,2.68
50.16,0.06,2.45,476.25,2.32
87.89,0.37,18.88,817.95,2.68
48.77,0.06,2.45,476.25,2.30
87.96,0.37,18.88,817.95,2.68
88.04,0.37,18.88,817.95,2.68
47.99,0.06,2.45,476.25,2.28
88.12,0.37,18.88,817.95,2.68
47.40,0.06,2.45,476.25,2.27
88.12,0.37,18.88,817.95,2.68
