# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
80.55,0.05,5.42,102.43,1.43
36.14,0.10,0.95,472.14,2.40
36.14,0.10,0.95,472.14,2.40
34.98,0.10,0.95,472.14,2.39
33.41,0.09,0.95,472.14,2.37
33.41,0.09,0.95,472.14,2.37
80.58,0.05,5.42,102.43,1.43
33.41,0.09,0.95,472.14,2.37
32.37,0.09,0.95,457.11,2.36
32.37,0.09,0.95,457.11,2.36
32.37,0.09,0.95,457.11,2.36
80.66,0.05,5.42,102.43,1.42
30.58,0.09,0.95,457.11,2.35
29.85,0.08,0.95,457.11,2.34
29.85,0.08,0.95,457.11,2.34
29.85,0.08,0.95,457.11,2.34
80.79,0.05,5.42,102.43,1.39
29.15,0.08,0.95,457.11,2.33
29.15,0.08,0.95,457.11,2.33
27.38,0.08,0.95,457.11,2.31
26.70,0.08,0.95,457.11,2.30
81.32,0.05,5.42,102.43,1.31
26.70,0.08,0.95,457.11,2.30
26.70,0.08,0.95,457.11,2.30
25.99,0.07,0.95,457.11,2.29
81.72,0.05,5.42,104.56,1.24
25.99,0.07,0.95,457.11,2.29
24.20,0.07,0.95,457.11,2.27
23.50,0.07,0.95,457.11,2.26
23.50,0.07,0.95,457.11,2.26
82.18,0.05,5.42,102.43,1.16
23.50,0.07,0.95,457.11,2.26
22.80,0.07,0.95,457.11,2.25
22.80,0.07,0.95,457.11,2.25
163.35,0.19,7.14,133.11,2.58
22.80,0.07,0.95,457.11,2.25
82.61,0.05,5.42,102.43,1.09
20.41,0.06,0.95,457.11,2.22
20.41,0.06,0.95,457.11,2.22
20.41,0.06,0.95,457.11,2.22
83.09,0.05,5.42,105.61,1.02
19.65,0.06,0.95,457.11,2.21
19.65,0.06,0.95,457.11,2.21
19.02,0.06,0.95,457.11,2.19
17.19,0.05,0.95,457.11,2.16
83.86,0.05,5.42,105.61,0.92
16.44,0.05,0.95,457.11,2.15
16.44,0.05,0.95,267.91,2.15
16.44,0.05,0.95,267.91,2.15
84.21,0.05,5.42,102.43,0.89
15.86,0.05,10.65,267.91,2.14
15.86,0.05,10.65,267.91,2.14
15.28,0.05,10.65,267.91,2.13
84.39,0.05,4.95,101.34,0.87
13.24,0.04,10.65,267.91,2.08
12.76,0.04,10.65,267.91,2.07
12.76,0.04,10.65,226.66,2.07
84.57,0.05,4.53,101.34,0.86
12.06,0.04,10.65,226.66,2.05
12.06,0.04,10.65,226.66,2.05
10.58,0.04,10.65,226.66,2.01
84.92,0.05,4.53,101.34,0.83
10.58,0.04,10.65,226.66,2.01
3.49,0.02,10.65,226.66,1.67
3.49,0.02,10.65,226.66,1.67
85.10,0.05,4.53,101.34,0.82
1.90,0.02,10.65,226.66,1.46
155.95,0.19,7.14,133.11,2.57
1.90,0.02,10.65,218.48,1.46
0.22,0.01,10.65,218.48,1.01
86.02,0.05,4.53,101.34,0.78
0.22,0.01,10.65,238.05,1.01
2.10,0.02,10.65,238.05,1.51
2.10,0.02,10.65,238.05,1.51
87.75,0.06,4.95,101.34,0.76
17.10,0.05,10.65,238.05,2.16
21.20,0.05,10.65,238.05,2.23
91.17,0.07,4.53,101.34,0.76
21.20,0.05,10.65,238.05,2.23
25.77,0.06,10.65,238.05,2.29
25.77,0.06,10.65,238.05,2.29
91.26,0.07,6.11,101.34,0.76
29.80,0.06,8.67,238.05,2.34
32.14,0.07,8.67,238.05,2.36
91.38,0.07,5.42,103.50,0.76
32.14,0.07,8.67,238.05,2.36
32.72,0.07,8.67,238.05,2.37
150.47,0.19,7.14,133.11,2.56
91.50,0.07,4.95,101.34,0.76
35.23,0.07,8.67,238.05,2.39
35.23,0.07,8.67,238.05,2.39
35.55,0.07,8.67,238.05,2.39
91.55,0.07,4.53,101.34,0.76
36.03,0.07,8.67,238.05,2.40
36.03,0.07,8.67,238.05,2.40
91.64,0.07,4.95,101.34,0.76
36.45,0.07,8.67,238.05,2.40
36.85,0.07,8.67,238.05,2.40
36.85,0.07,8.67,238.05,2.40
91.67,0.07,6.11,101.34,0.76
37.36,0.07,8.67,238.05,2.41
145.68,0.19,7.14,133.11,2.55
39.72,0.07,8.67,238.05,2.43
91.22,0.07,6.56,101.34,0.76
