# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
5.56,0.02,95.33,631.72,1.51
18.89,0.03,42.64,67.02,1.96
18.89,0.03,42.64,67.02,1.96
5.56,0.02,95.33,631.72,1.51
20.30,0.03,27.98,64.75,2.00
5.77,0.02,95.33,631.72,1.52
20.30,0.02,27.98,64.75,2.00
20.30,0.02,27.98,64.75,2.00
5.77,0.02,95.33,544.61,1.52
20.50,0.02,15.40,65.71,2.01
5.93,0.02,95.33,544.61,1.52
20.50,0.02,15.40,65.71,2.01
5.93,0.02,95.33,544.61,1.52
20.50,0.02,15.40,65.71,2.01
20.50,0.02,15.40,65.71,2.01
5.93,0.02,95.33,544.61,1.52
20.50,0.02,6.00,66.91,2.01
6.09,0.02,95.33,544.61,1.53
20.50,0.02,6.00,66.91,2.01
6.09,0.02,95.33,544.61,1.53
20.50,0.02,6.00,66.91,2.01
20.50,0.02,11.27,86.51,2.01
6.23,0.02,95.33,544.61,1.53
9.13,0.01,11.27,86.51,1.63
6.23,0.02,95.33,544.61,1.53
9.13,0.01,11.27,86.51,1.63
6.23,0.02,95.33,544.61,1.53
9.13,0.01,11.27,86.51,1.63
10.99,0.00,10.51,95.27,1.70
10.99,0.00,10.51,95.27,1.70
6.36,0.02,95.33,544.61,1.54
10.99,0.01,10.51,95.27,1.70
10.99,0.01,10.51,95.27,1.70
6.36,0.02,95.33,544.61,1.54
10.99,0.01,10.51,95.27,1.70
6.48,0.02,95.33,2255.72,1.54
10.14,0.01,8.28,103.13,1.67
6.48,0.02,95.33,2255.72,1.54
10.14,0.01,8.28,103.13,1.67
10.14,0.01,8.28,103.13,1.67
8.06,0.03,95.33,2255.72,1.59
14.38,0.01,7.40,109.79,1.83
8.17,0.03,95.33,2255.72,1.60
14.38,0.01,7.40,109.79,1.83
8.17,0.03,95.33,2255.72,1.60
14.38,0.01,7.40,109.79,1.83
14.38,0.01,7.40,109.79,1.83
6.69,0.03,95.33,2282.80,1.55
21.64,0.01,7.55,110.21,2.06
6.69,0.03,95.33,2282.80,1.55
21.64,0.01,7.55,110.21,2.06
21.64,0.01,7.55,110.21,2.06
6.69,0.03,95.33,2282.80,1.55
21.64,0.01,2.22,92.45,2.06
21.64,0.02,4.01,99.56,2.06
6.77,0.03,95.33,2282.80,1.55
37.90,0.02,4.01,99.56,2.33
6.77,0.03,95.33,2282.80,1.55
37.90,0.02,4.01,99.56,2.33
37.90,0.02,4.01,99.56,2.33
6.84,0.03,95.33,2282.80,1.56
42.87,0.03,5.18,103.71,2.35
42.87,0.03,5.18,103.71,2.35
6.84,0.03,95.33,2282.80,1.56
18.79,0.02,5.18,103.71,1.98
6.84,0.03,95.33,2282.80,1.56
18.79,0.02,5.18,103.71,1.98
18.79,0.02,3.26,99.24,1.98
6.91,0.03,95.33,2282.80,1.55
18.79,0.02,3.26,99.24,1.98
47.47,0.03,-0.17,70.22,2.31
6.91,0.03,95.33,2282.80,1.55
47.47,0.03,-0.17,70.22,2.31
6.91,0.03,95.33,2282.80,1.55
47.47,0.03,0.34,86.60,2.31
8.53,0.04,95.33,2282.80,1.61
47.47,0.02,0.34,86.60,2.31
47.47,0.02,0.34,86.60,2.31
8.53,0.04,95.33,2282.80,1.61
47.47,0.02,0.34,86.60,2.31
8.53,0.04,95.33,2282.80,1.61
63.11,0.02,0.34,86.60,2.30
63.11,0.03,0.33,89.55,2.30
23.32,0.10,95.33,145.72,2.16
63.11,0.02,0.33,89.55,2.30
23.32,0.10,95.33,145.72,2.16
63.11,0.02,0.33,89.55,2.30
23.05,0.10,95.33,145.72,2.11
63.11,0.02,0.57,90.29,2.30
63.11,0.02,0.57,90.29,2.30
23.05,0.10,95.33,145.72,2.11
15.13,0.01,22.28,210.54,1.86
23.05,0.10,95.33,145.72,2.11
15.13,0.01,22.28,210.54,1.86
64.58,0.02,27.69,264.66,2.38
22.43,0.09,95.33,145.72,2.09
64.58,0.02,27.69,264.66,2.38
64.58,0.02,27.69,264.66,2.38
22.43,0.09,95.33,145.72,2.09
64.58,0.02,27.69,264.66,2.38
64.58,0.00,27.69,264.66,2.38
22.43,0.09,95.33,145.72,2.09
22.29,0.09,95.33,145.72,2.09
22.29,0.09,95.33,145.72,2.09
22.40,0.09,95.33,145.72,2.09
22.40,0.09,95.33,145.72,2.09
22.40,0.09,95.33,145.72,2.09
22.67,0.09,95.33,144.35,2.11
22.67,0.09,95.33,144.35,2.11
23.02,0.09,95.33,144.35,2.12
23.02,0.09,95.33,144.35,2.12
23.02,0.09,95.33,144.35,2.12
23.38,0.09,9.81,144.35,2.14
23.79,0.09,9.81,144.35,2.16
23.79,0.09,9.81,144.35,2.16
23.74,0.09,9.81,144.35,2.16
23.74,0.09,9.81,144.35,2.16
23.72,0.09,9.81,144.35,2.15
23.72,0.09,9.81,144.35,2.15
23.72,0.09,9.81,144.35,2.15
23.70,0.09,9.81,144.35,2.15
23.70,0.09,9.81,144.35,2.15
23.70,0.09,9.81,144.35,2.15
23.42,0.09,9.81,144.35,2.14
23.42,0.09,9.81,144.35,2.14
24.55,0.09,9.81,144.35,2.19
24.55,0.09,9.81,144.35,2.19
24.55,0.09,9.81,144.35,2.19
25.67,0.10,9.81,144.35,2.23
25.67,0.10,9.81,144.35,2.23
25.67,0.10,9.81,144.35,2.23
26.50,0.11,9.81,144.35,2.26
26.50,0.11,9.81,144.35,2.26
26.50,0.11,9.81,144.35,2.26
27.58,0.11,9.81,144.35,2.28
27.58,0.11,9.81,1234.55,2.28
28.64,0.11,9.81,1234.55,2.30
28.64,0.11,9.81,1234.55,2.30
28.64,0.11,9.81,1234.55,2.30
29.74,0.11,9.81,1234.55,2.31
29.74,0.11,9.81,1234.55,2.31
29.74,0.11,9.81,1234.55,2.31
30.82,0.11,9.81,1234.55,2.31
30.38,0.10,9.81,1234.55,2.31
31.41,0.10,9.81,1234.55,2.31
31.41,0.10,9.81,1234.55,2.31
31.41,0.10,9.81,1234.55,2.31
32.45,0.11,9.81,1234.55,2.30
32.45,0.11,9.81,1234.55,2.30
32.45,0.11,9.81,1234.55,2.30
33.17,0.11,9.81,1234.55,2.30
30.24,0.10,9.81,1234.55,2.31
30.24,0.10,9.81,1234.55,2.31
31.62,0.11,9.81,1234.55,2.31
31.62,0.11,9.81,1234.55,2.31
31.62,0.11,9.81,1234.55,2.31
32.98,0.11,9.81,1234.55,2.30
32.98,0.11,9.81,1234.55,2.30
32.98,0.11,9.81,1234.55,2.30
34.35,0.11,3.12,1234.55,2.30
33.34,0.11,3.12,1234.55,2.30
33.34,0.11,3.12,1234.55,2.30
34.64,0.11,0.60,1234.55,2.30
34.64,0.11,0.60,1234.55,2.30
34.64,0.11,0.60,1234.55,2.30
36.08,0.11,0.60,1234.55,2.31
36.08,0.10,0.60,1234.55,2.31
36.08,0.10,0.60,1234.55,2.31
36.37,0.10,0.60,1234.55,2.31
36.37,0.10,0.60,1234.55,2.31
36.37,0.10,0.60,1234.55,2.31
37.68,0.10,0.60,1234.55,2.33
37.68,0.10,0.60,1234.55,2.33
37.68,0.10,0.60,1234.55,2.33
37.86,0.10,0.60,1234.55,2.33
37.86,0.10,0.60,1234.55,2.33
37.86,0.10,0.60,1234.55,2.33
39.22,0.10,0.60,1234.55,2.35
39.22,0.10,0.60,1234.55,2.35
39.22,0.10,0.60,1234.55,2.35
39.32,0.10,0.60,1234.55,2.35
39.32,0.13,0.60,1234.55,2.35
39.32,0.13,0.60,510.30,2.35
40.36,0.13,0.60,510.30,2.36
40.36,0.13,0.60,510.30,2.36
41.20,0.13,0.60,510.30,2.36
41.20,0.13,0.60,510.30,2.36
41.20,0.13,0.60,510.30,2.36
41.20,0.05,0.60,510.30,2.36
41.20,0.05,0.60,510.30,2.36
41.20,0.05,0.60,510.30,2.36
41.20,0.05,0.60,510.30,2.36
41.20,0.05,0.60,510.30,2.36
41.20,0.04,0.60,510.30,2.36
41.20,0.04,0.60,510.30,2.36
45.39,0.05,0.60,510.30,2.33
45.39,0.07,0.60,510.30,2.33
45.39,0.07,0.60,510.30,2.33
45.39,0.07,0.60,510.30,2.33
45.39,0.06,0.60,497.67,2.33
45.39,0.06,0.60,497.67,2.33
45.39,0.07,0.60,497.67,2.33
45.39,0.09,0.60,497.67,2.33
45.39,0.09,0.60,485.90,2.33
45.39,0.10,0.60,485.90,2.33
47.96,0.11,0.60,485.90,2.30
48.86,0.09,0.60,474.35,2.29
48.86,0.09,0.60,474.35,2.29
48.86,0.06,0.60,474.35,2.29
48.86,0.06,0.60,474.35,2.29
49.81,0.09,0.60,463.01,2.28
49.81,0.09,0.60,463.01,2.28
49.81,0.09,0.60,463.01,2.28
50.59,0.08,0.60,463.01,2.26
50.59,0.08,0.60,463.01,2.26
50.59,0.08,0.60,463.01,2.26
51.23,0.06,0.60,463.01,2.25
51.23,0.06,0.60,463.01,2.25
51.94,0.09,0.60,463.01,2.23
51.94,0.09,0.60,463.01,2.23
51.94,0.03,0.60,463.01,2.23
51.94,0.03,0.60,463.01,2.23
52.61,0.03,0.60,463.01,2.21
52.61,0.10,0.60,463.01,2.21
53.40,0.10,0.60,463.01,2.19
53.40,0.07,0.60,463.01,2.19
53.40,0.07,0.60,463.01,2.19
53.40,0.07,0.60,463.01,2.19
53.40,0.07,0.60,463.01,2.19
53.98,0.07,0.60,463.01,2.17
54.76,0.07,0.60,463.01,2.15
54.76,0.06,0.60,463.01,2.15
54.76,0.06,0.60,463.01,2.15
54.76,0.06,0.60,463.01,2.15
54.76,0.06,0.60,463.01,2.15
29.88,0.04,0.60,463.01,2.29
29.88,0.06,0.60,463.01,2.29
29.88,0.06,0.60,463.01,2.29
21.67,0.05,0.60,463.01,2.06
21.67,0.05,0.60,463.01,2.06
21.67,0.05,0.60,463.01,2.06
20.12,0.05,0.60,463.01,1.99
20.12,0.07,0.60,463.01,1.99
18.82,0.07,0.60,463.01,1.95
18.82,0.07,0.60,463.01,1.95
18.82,0.07,0.60,463.01,1.95
18.82,0.07,0.60,463.01,1.95
17.48,0.05,0.60,463.01,1.92
15.88,0.04,0.60,463.01,1.89
15.88,0.04,0.60,463.01,1.89
15.88,0.06,0.60,463.01,1.89
15.88,0.06,0.60,463.01,1.89
14.50,0.06,0.60,463.01,1.85
14.50,0.06,0.60,463.01,1.85
14.50,0.06,-0.00,463.01,1.85
14.50,0.06,-0.00,463.01,1.85
11.47,0.06,-0.00,463.01,1.72
11.47,0.06,-0.00,463.01,1.72
11.47,0.06,-0.00,463.01,1.72
11.47,0.06,-0.00,463.01,1.72
10.12,0.05,-0.00,463.01,1.66
10.12,0.04,-0.00,463.01,1.66
10.12,0.04,-0.00,463.01,1.66
8.41,0.04,-0.00,463.01,1.60
8.41,0.04,-0.00,463.01,1.60
8.41,0.04,-0.00,239.25,1.60
7.02,0.05,-0.00,239.25,1.56
7.02,0.05,-0.00,239.25,1.56
7.02,0.05,-0.00,239.25,1.56
5.65,0.05,-0.00,239.25,1.51
5.65,0.05,-0.00,239.25,1.51
5.65,0.05,-0.00,239.25,1.51
3.78,0.04,-0.00,239.25,1.42
2.42,0.03,-0.00,239.25,1.30
2.42,0.03,-0.00,239.25,1.30
2.42,0.03,-0.00,239.25,1.30
2.42,0.03,-0.00,239.25,1.30
2.42,0.03,-0.00,239.25,1.30
17.00,0.06,0.16,195.71,1.91
17.00,0.06,0.16,195.71,1.91
17.00,0.06,0.16,195.71,1.91
17.00,0.06,0.16,195.71,1.91
15.38,0.05,0.16,195.71,1.87
17.00,0.06,0.16,195.71,1.91
18.57,0.06,0.16,195.71,1.95
18.57,0.06,0.16,195.71,1.95
18.57,0.06,0.16,195.71,1.95
18.57,0.06,0.16,195.71,1.95
18.57,0.06,12.96,195.71,1.95
15.38,0.05,0.16,195.71,1.87
18.57,0.09,12.96,195.71,1.95
15.38,0.05,0.16,195.71,1.87
2.42,0.03,-0.00,239.25,1.30
15.38,0.05,0.16,195.71,1.87
15.38,0.05,0.16,195.71,1.87
20.12,0.09,12.96,195.71,1.99
13.72,0.05,0.16,195.71,1.82
13.72,0.05,0.52,195.71,1.82
1.72,0.02,-0.00,239.25,1.21
20.12,0.09,12.96,195.71,1.99
13.72,0.05,-0.00,195.71,1.82
13.72,0.05,-0.00,195.71,1.82
13.72,0.05,-0.00,195.71,1.82
20.12,0.09,12.96,195.71,1.99
12.03,0.04,-0.00,239.25,1.74
1.72,0.02,-0.00,239.25,1.21
20.12,0.09,12.96,195.71,1.99
12.03,0.04,-0.00,239.25,1.74
13.62,0.04,-0.00,239.25,1.81
21.81,0.09,12.96,195.71,2.06
13.62,0.04,-0.00,239.25,1.81
1.72,0.02,-0.00,239.25,1.21
13.62,0.04,-0.00,239.25,1.81
21.81,0.09,12.96,195.71,2.06
11.85,0.04,-0.00,239.25,1.73
43.27,0.13,12.96,195.71,2.35
11.85,0.04,-0.00,239.25,1.73
1.72,0.02,-0.00,239.25,1.21
11.85,0.04,-0.00,239.25,1.73
43.27,0.13,12.96,195.71,2.35
11.85,0.04,-0.00,239.25,1.73
1.72,0.02,-0.00,239.25,1.21
43.27,0.13,12.96,195.71,2.35
11.85,0.04,-0.00,239.25,1.73
11.85,0.05,-0.00,239.25,1.73
10.01,0.05,-0.00,239.25,1.66
10.01,0.05,-0.00,239.25,1.66
10.01,0.05,-0.00,239.25,1.66
10.01,0.05,-0.00,239.25,1.66
10.01,0.05,-0.00,239.25,1.66
8.17,0.04,-0.00,239.25,1.60
8.17,0.04,-0.00,239.25,1.60
8.17,0.04,-0.00,239.25,1.60
8.17,0.04,-0.00,239.25,1.60
8.17,0.04,-0.00,239.25,1.60
8.17,0.04,-0.00,239.25,1.60
1.72,0.02,-0.00,239.25,1.21
1.72,0.02,-0.00,239.25,1.21
43.27,0.13,12.96,195.71,2.35
43.27,0.13,12.96,195.71,2.35
42.26,0.13,12.96,196.29,2.35
43.87,0.13,12.96,196.29,2.34
43.87,0.13,12.96,196.29,2.34
43.87,0.13,12.96,196.29,2.34
43.87,0.13,12.96,196.29,2.34
43.87,0.14,12.96,196.29,2.34
43.09,0.14,12.96,196.29,2.35
43.09,0.14,12.96,196.29,2.35
43.09,0.14,12.96,196.29,2.35
44.68,0.14,12.96,196.29,2.33
44.68,0.14,12.96,196.29,2.33
44.68,0.14,12.96,196.29,2.33
44.68,0.14,12.96,196.29,2.33
43.93,0.14,12.96,196.29,2.34
43.93,0.14,12.96,138.01,2.34
45.50,0.14,12.96,138.01,2.33
45.50,0.14,12.96,138.01,2.33
45.50,0.14,12.96,138.01,2.33
45.50,0.14,12.96,138.01,2.33
45.50,0.14,12.96,138.01,2.33
44.78,0.14,12.96,138.01,2.33
46.29,0.14,12.96,138.01,2.32
46.29,0.14,12.96,138.01,2.32
46.29,0.14,12.96,138.01,2.32
46.29,0.14,12.96,138.01,2.32
46.29,0.14,12.96,138.01,2.32
45.43,0.14,12.96,138.01,2.33
45.43,0.14,12.96,138.01,2.33
45.43,0.14,12.96,138.01,2.33
46.86,0.14,12.96,138.01,2.31
46.86,0.12,12.96,138.01,2.31
46.86,0.12,12.96,138.01,2.31
46.86,0.11,12.96,138.01,2.31
46.86,0.11,12.96,138.01,2.31
48.26,0.12,12.96,138.01,2.30
47.41,0.12,12.96,138.01,2.31
47.41,0.13,12.96,138.01,2.31
47.41,0.13,12.96,138.01,2.31
47.41,0.13,12.96,138.01,2.31
48.75,0.14,12.96,138.01,2.30
48.75,0.14,12.96,138.01,2.30
48.75,0.13,12.96,138.01,2.30
48.75,0.13,12.96,138.01,2.30
48.75,0.13,12.96,138.01,2.30
47.93,0.13,12.96,138.01,2.30
47.93,0.13,12.96,138.01,2.30
49.22,0.13,12.96,138.01,2.29
49.22,0.13,12.96,138.01,2.29
49.22,0.13,12.96,138.01,2.29
49.22,0.13,12.96,138.01,2.29
49.22,0.13,12.96,138.01,2.29
50.49,0.13,12.96,138.01,2.27
50.49,0.12,12.96,138.01,2.27
50.49,0.12,12.96,138.01,2.27
50.49,0.12,12.96,138.01,2.27
49.68,0.12,12.96,138.01,2.28
50.86,0.12,12.96,138.01,2.26
50.86,0.12,12.96,138.01,2.26
50.86,0.15,12.96,138.01,2.26
50.86,0.15,12.96,138.01,2.26
50.86,0.15,12.96,138.01,2.26
50.86,0.15,12.96,138.01,2.26
50.86,0.15,12.96,138.01,2.26
51.31,0.15,12.96,138.01,2.25
51.31,0.15,12.96,138.01,2.25
51.31,0.15,12.96,138.01,2.25
51.31,0.15,12.64,138.01,2.25
51.31,0.15,12.64,138.01,2.25
51.31,0.14,12.64,138.01,2.25
51.86,0.14,12.64,138.01,2.23
51.86,0.14,12.64,138.01,2.23
51.86,0.14,12.64,138.01,2.23
51.86,0.14,12.64,138.01,2.23
51.86,0.15,12.64,138.01,2.23
51.86,0.15,12.64,138.01,2.23
51.16,0.15,12.64,138.01,2.25
51.16,0.15,12.64,138.01,2.25
51.16,0.15,12.64,138.01,2.25
51.16,0.15,12.64,138.01,2.25
51.16,0.15,12.64,138.01,2.25
52.45,0.15,12.64,138.01,2.22
48.93,0.13,12.64,138.01,2.30
48.93,0.13,12.64,138.01,2.30
