# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
37.74,0.09,4.06,429.03,2.41
37.74,0.09,4.06,429.03,2.41
37.09,0.09,4.06,429.03,2.41
37.09,0.09,4.06,429.03,2.41
35.54,0.09,4.06,429.03,2.39
35.54,0.09,4.06,429.03,2.39
84.96,0.05,0.93,158.42,1.85
177.00,0.18,0.00,318.41,2.60
34.87,0.09,4.06,429.03,2.39
34.87,0.08,4.06,429.03,2.39
34.87,0.08,4.06,429.03,2.39
34.87,0.08,4.06,429.03,2.39
32.66,0.08,4.06,429.03,2.37
32.66,0.08,2.14,402.52,2.37
32.66,0.08,2.14,402.52,2.37
32.66,0.08,2.14,402.52,2.37
85.37,0.05,0.93,158.42,1.82
175.16,0.18,0.00,318.41,2.60
32.04,0.08,2.14,402.52,2.36
30.42,0.07,2.14,402.52,2.34
30.42,0.07,2.14,402.52,2.34
30.42,0.07,2.14,402.52,2.34
29.88,0.07,2.14,402.52,2.34
29.88,0.07,2.14,402.52,2.34
169.06,0.18,0.00,318.41,2.59
29.88,0.07,2.14,402.52,2.34
85.74,0.05,0.93,158.42,1.80
27.45,0.02,2.14,402.52,2.31
27.45,0.02,2.14,402.52,2.31
26.91,0.02,2.14,402.52,2.30
160.34,0.18,0.00,318.41,2.58
26.91,0.02,2.14,402.52,2.30
86.26,0.05,0.93,158.42,1.75
26.41,0.02,2.14,402.52,2.30
26.41,0.06,2.14,402.52,2.30
145.45,0.18,0.00,318.41,2.22
25.79,0.06,2.14,402.52,2.29
25.79,0.06,2.14,402.52,2.29
25.28,0.06,2.14,402.52,2.29
25.28,0.06,2.14,402.52,2.29
86.67,0.05,0.93,158.22,1.71
23.58,0.06,2.14,402.52,2.26
144.68,0.18,0.00,318.41,2.17
22.93,0.06,2.14,402.52,2.25
22.93,0.06,2.14,402.52,2.25
22.33,0.05,2.14,402.52,2.25
22.33,0.05,2.14,402.52,2.25
143.17,0.18,0.00,318.41,2.11
22.33,0.05,1.94,402.52,2.25
87.19,0.05,0.93,158.22,1.65
21.84,0.05,1.94,402.52,2.24
20.23,0.05,1.94,351.43,2.21
142.41,0.18,0.00,318.41,2.09
19.07,0.05,1.94,351.43,2.20
19.07,0.05,1.94,351.43,2.20
17.62,0.04,1.94,351.43,2.17
140.92,0.18,0.00,318.41,2.08
17.62,0.04,1.94,351.43,2.17
87.54,0.05,0.93,158.22,1.60
16.15,0.04,1.94,351.43,2.14
11.73,0.04,1.94,351.43,2.04
140.20,0.19,0.00,318.41,2.07
10.37,0.03,1.94,351.43,2.00
10.37,0.03,1.94,351.43,2.00
138.77,0.19,0.55,318.41,2.07
8.64,0.03,1.94,351.43,1.94
88.07,0.05,0.93,158.22,1.53
8.64,0.03,1.94,351.43,1.94
7.00,0.03,1.94,351.43,1.87
138.01,0.19,0.55,318.41,2.07
7.00,0.03,1.94,351.43,1.87
0.13,0.00,12.47,351.43,0.59
165.52,0.19,0.55,318.41,2.58
0.13,0.00,12.47,230.00,0.59
88.59,0.05,0.93,157.84,1.44
1.53,0.01,12.47,230.00,1.34
156.11,0.19,0.55,318.41,2.57
1.53,0.01,12.47,230.00,1.34
3.11,0.02,12.47,221.37,1.58
161.33,0.19,0.55,318.41,2.57
4.62,0.02,12.47,221.37,1.72
4.62,0.02,12.47,221.37,1.72
161.33,0.19,0.55,318.41,2.57
88.94,0.05,0.93,157.84,1.39
5.98,0.02,12.47,265.46,1.81
161.33,0.19,0.55,318.41,2.57
13.32,0.03,12.47,265.46,2.08
13.32,0.03,12.47,265.46,2.08
161.33,0.19,0.55,318.41,2.57
14.94,0.04,12.47,315.97,2.12
89.47,0.05,0.93,157.84,1.30
