# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
40.10,0.11,1.63,444.78,2.43
40.10,0.11,1.63,444.78,2.43
40.10,0.11,1.63,444.78,2.43
40.10,0.11,1.63,444.78,2.43
39.40,0.11,1.63,444.78,2.43
160.51,0.19,6.22,159.93,2.58
38.04,0.10,1.63,444.78,2.41
83.42,0.05,0.48,157.73,1.73
38.04,0.10,1.63,444.78,2.41
38.04,0.10,1.63,444.78,2.41
38.04,0.10,1.63,444.78,2.41
37.38,0.10,1.63,444.78,2.41
37.38,0.10,1.63,444.78,2.41
35.94,0.09,1.63,444.78,2.40
35.94,0.09,1.63,444.78,2.40
83.56,0.05,0.48,157.73,1.71
35.25,0.09,1.63,444.78,2.39
35.25,0.09,1.63,444.78,2.39
35.25,0.09,1.63,444.78,2.39
35.25,0.09,1.63,444.78,2.39
148.00,0.19,6.22,159.93,2.50
33.01,0.09,1.63,444.78,2.37
33.01,0.09,1.63,444.78,2.37
84.26,0.05,0.48,157.73,1.63
33.01,0.09,1.63,444.78,2.37
33.01,0.09,1.63,444.78,2.37
32.32,0.08,1.63,444.78,2.36
32.32,0.08,1.63,444.78,2.36
30.73,0.08,1.63,444.78,2.35
30.10,0.08,1.63,444.78,2.34
93.22,0.05,0.48,157.73,0.77
30.10,0.08,1.63,444.78,2.34
30.10,0.08,1.63,444.78,2.34
135.81,0.19,6.22,159.93,2.04
30.10,0.08,1.63,444.78,2.34
29.43,0.08,1.63,444.78,2.33
27.88,0.07,1.63,444.78,2.32
27.88,0.07,1.63,444.78,2.32
93.47,0.05,0.48,157.73,0.77
27.17,0.07,1.63,444.78,2.31
27.17,0.07,1.63,444.78,2.31
27.17,0.07,1.63,444.78,2.31
26.53,0.07,1.63,444.78,2.30
128.32,0.19,6.22,159.93,2.01
24.93,0.07,1.63,444.78,2.28
94.68,0.05,0.48,157.73,0.77
24.93,0.07,1.63,444.78,2.28
24.38,0.06,1.83,421.19,2.27
24.38,0.06,1.83,421.19,2.27
24.38,0.06,1.83,421.19,2.27
23.67,0.06,1.83,421.19,2.26
21.97,0.06,1.83,421.19,2.24
95.15,0.05,0.48,157.73,0.77
126.93,0.19,6.22,159.93,1.93
21.48,0.06,1.83,421.19,2.23
21.48,0.06,1.83,421.19,2.23
21.48,0.06,1.83,421.19,2.23
20.79,0.06,1.83,421.19,2.22
95.14,0.05,0.48,157.73,0.77
20.79,0.06,1.83,421.19,2.22
18.64,0.05,1.83,421.19,2.19
125.65,0.19,6.22,159.93,1.82
18.64,0.05,1.83,421.19,2.19
18.64,0.05,1.83,421.19,2.19
17.97,0.05,1.83,421.19,2.18
95.18,0.05,0.48,157.46,0.77
17.97,0.05,1.83,421.19,2.18
17.47,0.05,1.83,421.19,2.17
124.82,0.19,6.22,159.93,1.72
17.47,0.05,1.83,421.19,2.17
11.98,0.04,1.83,202.54,2.05
11.98,0.04,11.72,202.54,2.05
95.29,0.05,0.48,157.46,0.77
10.41,0.04,11.72,202.54,2.00
10.41,0.03,11.72,202.54,2.00
123.94,0.19,6.22,159.93,1.59
8.95,0.03,11.72,202.54,1.96
8.95,0.03,11.72,202.54,1.96
95.41,0.05,0.48,157.46,0.77
7.48,0.03,11.72,202.54,1.89
2.07,0.01,11.72,202.54,1.48
123.05,0.19,6.22,159.93,1.44
0.40,0.01,11.72,202.54,1.04
0.40,0.01,11.72,202.54,1.04
95.46,0.05,0.48,157.46,0.77
1.31,0.01,11.72,202.54,1.32
126.32,0.19,6.22,159.93,1.88
1.31,0.01,11.72,202.54,1.32
3.10,0.02,11.72,202.54,1.61
95.49,0.05,0.48,157.46,0.77
3.10,0.02,11.72,202.54,1.61
11.72,0.04,11.72,202.54,2.04
125.19,0.19,6.22,159.93,1.77
13.61,0.04,1.53,202.54,2.09
13.61,0.04,1.53,390.63,2.09
95.65,0.05,0.48,156.71,0.77
124.07,0.19,5.29,159.93,1.61
15.44,0.04,1.53,390.63,2.13
17.41,0.04,1.53,390.63,2.17
17.41,0.04,1.53,390.63,2.17
123.46,0.19,5.29,159.93,1.51
21.06,0.05,1.53,390.63,2.23
95.74,0.05,0.48,156.71,0.77
24.38,0.05,1.53,390.63,2.27
122.23,0.20,5.29,159.93,1.29
24.38,0.05,1.53,390.63,2.27
37.71,0.06,1.59,390.63,2.41
95.64,0.05,0.48,156.71,0.77
121.73,0.20,5.29,159.93,1.20
38.10,0.06,1.59,390.63,2.42
38.10,0.06,1.59,390.63,2.42
120.40,0.20,5.29,160.91,1.00
38.50,0.06,1.59,390.63,2.42
95.84,0.05,0.48,156.71,0.77
38.87,0.06,1.59,390.63,2.42
123.06,0.20,5.29,160.91,1.44
39.35,0.07,1.59,390.63,2.43
39.35,0.06,1.59,390.63,2.43
122.28,0.20,5.29,160.91,1.30
96.00,0.05,0.42,156.71,0.77
39.70,0.06,1.59,390.63,2.43
120.90,0.20,5.29,160.91,1.07
40.07,0.07,1.59,390.63,2.43
42.23,0.07,1.59,390.63,2.45
120.13,0.20,5.29,160.91,0.96
96.23,0.05,0.42,152.30,0.77
42.23,0.07,1.59,390.63,2.45
119.37,0.20,4.20,160.91,0.89
42.57,0.07,1.59,390.63,2.45
118.77,0.20,4.20,160.91,0.85
42.95,0.07,1.59,390.63,2.45
96.33,0.07,0.42,152.30,0.77
117.95,0.20,4.20,164.50,0.81
43.45,0.07,1.59,445.65,2.46
117.20,0.20,2.70,164.50,0.80
43.87,0.07,1.59,445.65,2.46
96.50,0.07,0.42,152.30,0.77
117.20,0.20,2.70,164.50,0.80
44.23,0.07,1.59,445.65,2.47
117.20,0.20,2.70,165.21,0.80
44.23,0.07,1.59,166.60,2.47
117.20,0.20,2.70,165.21,0.80
44.63,0.07,1.59,166.60,2.47
96.59,0.07,0.42,152.30,0.77
117.20,0.20,2.10,165.21,0.80
45.04,0.07,1.59,166.60,2.47
117.20,0.20,2.10,165.21,0.80
45.45,0.07,1.59,166.60,2.48
117.20,0.20,1.83,165.21,0.80
117.20,0.20,1.83,165.21,0.80
47.43,0.07,1.59,166.60,2.52
96.57,0.07,0.42,152.30,0.77
49.48,0.15,1.83,165.21,2.57
47.84,0.07,1.59,166.60,2.52
