# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.392200,29.428986,159.207932,2.707998
0.071571,4.453974,546.015564,2.419410
0.392068,29.428986,159.354248,2.707873
0.071156,4.453974,546.015564,2.427948
0.392000,29.428986,159.354248,2.707959
0.006174,44.494335,398.247650,2.187614
0.070348,4.453974,546.015564,2.418024
0.392017,29.428986,159.354248,2.708321
0.069553,4.453974,546.015564,2.408746
0.392139,29.428986,159.354248,2.709029
0.068542,4.453974,546.015564,2.390354
0.392370,29.428986,159.354248,2.710105
0.067716,4.453974,546.015564,2.380831
0.392683,29.428986,159.354248,2.711500
0.393002,29.428986,159.354248,2.713026
0.066777,4.453974,546.015564,2.367959
0.006207,44.494335,390.408630,2.187614
0.393210,29.428986,159.354248,2.714236
0.065858,4.453974,546.015564,2.357174
0.438728,29.428986,159.354248,2.715156
0.064470,4.453974,546.015564,2.337071
0.438867,29.428986,159.354248,2.716155
0.063444,4.453974,546.015564,2.329077
0.439320,29.428986,159.354248,2.718561
0.439211,29.428986,159.354248,2.718682
0.006239,44.494335,390.408630,2.187614
0.062450,4.453974,546.015564,2.322800
0.440964,29.428986,159.354248,2.730492
0.061452,4.453974,546.015564,2.317301
0.440834,29.428986,159.354248,2.730759
0.056864,4.453974,546.015564,2.312052
0.440722,29.428986,159.354248,2.731128
0.055553,4.453974,546.015564,2.301688
0.440645,29.428986,159.354248,2.731802
0.006272,4.453974,390.408630,2.187614
0.054638,4.453974,546.015564,2.295624
0.440535,26.947199,159.354248,2.732401
0.053729,4.453974,546.015564,2.288391
0.440412,26.947199,159.354248,2.732864
0.052811,4.453974,546.015564,2.279171
0.440330,26.947199,159.354248,2.733718
0.006304,4.453974,390.408630,2.187614
0.051640,4.453974,546.015564,2.258972
0.440212,26.947199,159.354248,2.734398
0.050437,4.453974,546.015564,2.230531
0.440101,26.947199,159.354248,2.735171
0.049679,4.453974,546.015564,2.217594
0.439998,26.947199,159.626999,2.736093
0.004472,4.453974,546.015564,2.217594
0.029836,4.453974,546.015564,2.218843
0.006337,4.453974,390.408630,2.187614
0.029826,4.453974,529.481689,2.218843
0.049467,4.453974,546.015564,2.233424
0.029816,4.453974,529.481689,2.218843
0.439885,26.947199,159.626999,2.737029
0.029834,4.453974,529.481689,2.221057
0.029823,4.453974,498.784302,2.221057
0.048672,4.453974,546.015564,2.218456
0.027629,4.453974,498.784302,2.233168
0.027616,4.453974,498.784302,2.233168
0.027603,4.453974,498.784302,2.233168
0.027750,4.453974,498.784302,2.245742
0.439876,26.947199,158.927063,2.739254
0.027736,4.453974,498.784302,2.245742
0.027722,4.453974,498.784302,2.245742
0.047853,4.453974,546.015564,2.201049
0.027639,4.453974,498.784302,2.240539
0.027625,4.453974,478.876892,2.240539
0.006369,4.453974,390.408630,2.187614
0.027624,4.453974,478.876892,2.256557
0.027608,4.453974,478.876892,2.256557
0.439770,26.947199,158.927063,2.740507
0.027592,4.453974,478.876892,2.256557
0.047050,4.453974,546.015564,2.184068
0.027575,4.453974,449.760284,2.256557
0.027558,4.453974,449.760284,2.256557
0.027760,4.453974,449.760284,2.269976
0.019534,4.453974,390.408630,2.269976
0.027742,4.453974,449.760284,2.269976
0.439669,26.947199,158.927063,2.741894
0.046233,4.453974,546.015564,2.166606
0.027724,4.453974,449.760284,2.269976
0.019554,4.453974,390.408630,2.269976
0.027706,4.453974,449.760284,2.269976
0.019573,4.453974,390.408630,2.269976
0.019746,4.453974,390.408630,2.280809
0.027904,4.453974,427.782776,2.280809
0.045409,4.453974,546.015564,2.151464
0.019765,4.453974,390.408630,2.280809
0.439557,26.947199,158.927063,2.743321
0.027885,4.453974,427.782776,2.280809
0.019784,4.453974,390.408630,2.280809
