# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
31.28,0.07,126.49,1381.44,2.23
53.99,0.16,14.69,554.80,2.49
31.28,0.07,126.49,1381.44,2.23
53.28,0.16,14.69,545.81,2.49
31.28,0.07,126.49,1381.44,2.23
53.28,0.16,14.69,545.81,2.49
31.28,0.12,126.49,1381.44,2.23
52.85,0.16,14.69,319.31,2.49
31.28,0.12,126.49,1381.44,2.23
31.28,0.12,126.49,1381.44,2.23
52.21,0.20,14.69,341.09,2.49
21.64,0.10,126.49,1381.44,2.03
52.21,0.20,14.69,341.09,2.49
21.64,0.10,126.49,1381.44,2.03
21.64,0.10,126.49,1381.44,2.03
51.58,0.20,14.69,341.09,2.49
21.64,0.10,126.49,1381.44,2.03
50.97,0.19,14.69,341.09,2.49
21.64,0.10,126.49,1381.44,2.03
21.64,0.06,126.49,1381.44,2.03
50.36,0.19,14.69,470.52,2.48
21.64,0.06,126.49,1160.79,2.03
49.74,0.19,14.69,470.52,2.48
20.81,0.08,126.49,1160.79,1.99
7.81,0.05,126.49,1160.79,1.74
49.74,0.19,14.69,470.52,2.48
7.81,0.05,126.49,1160.79,1.74
49.15,0.19,14.69,470.52,2.48
7.81,0.05,126.49,1160.79,1.74
7.81,0.05,126.49,1160.79,1.74
48.53,0.19,14.69,461.83,2.48
7.81,0.05,126.49,1160.79,1.74
7.81,0.06,126.49,1160.79,1.74
47.92,0.20,14.69,461.83,2.47
7.81,0.06,187.72,1293.86,1.74
47.31,0.19,14.69,461.83,2.47
7.81,0.06,192.62,1313.73,1.74
7.81,0.06,192.62,1313.73,1.74
47.31,0.19,14.69,461.83,2.47
7.81,0.06,192.62,1347.99,1.74
7.81,0.06,192.62,1347.99,1.74
46.70,0.19,14.69,461.83,2.46
7.81,0.06,192.62,1347.99,1.74
46.09,0.19,14.69,461.83,2.46
7.81,0.06,192.62,1347.99,1.74
7.73,0.06,192.62,1347.99,1.74
45.48,0.19,14.69,461.83,2.45
7.64,0.06,192.62,1347.99,1.74
44.87,0.19,14.69,461.83,2.44
7.64,0.06,192.62,1347.99,1.74
44.32,0.19,14.69,423.89,2.44
7.55,0.06,192.62,1347.99,1.74
7.55,0.06,192.62,1347.99,1.74
44.32,0.19,14.69,423.89,2.44
7.44,0.06,192.62,1347.99,1.73
43.81,0.19,14.69,423.89,2.43
7.34,0.06,192.62,1347.99,1.73
43.31,0.18,14.69,423.89,2.42
7.34,0.06,192.62,1347.99,1.73
7.23,0.06,192.62,1347.99,1.73
42.81,0.18,14.69,423.89,2.42
7.12,0.06,192.62,1347.99,1.73
42.30,0.18,14.69,423.89,2.41
7.12,0.06,192.62,1347.99,1.73
41.82,0.18,14.69,423.89,2.40
6.98,0.06,192.62,1347.99,1.72
41.82,0.18,14.69,423.89,2.40
6.98,0.06,192.62,1347.99,1.72
6.85,0.05,192.62,1347.99,1.72
41.35,0.18,14.69,423.89,2.39
6.70,0.05,192.62,1347.99,1.71
40.87,0.18,14.69,423.89,2.39
6.70,0.05,192.62,1347.99,1.71
40.40,0.18,14.69,423.89,2.38
