# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
63.44,0.31,3.02,437.70,2.40
62.18,0.30,19.28,148.99,2.39
62.18,0.30,19.28,148.99,2.39
63.09,0.31,3.02,435.06,2.39
62.74,0.31,3.02,422.58,2.39
62.18,0.33,19.28,148.99,2.39
62.39,0.31,3.02,438.92,2.39
62.18,0.33,19.28,148.99,2.39
62.06,0.31,3.02,438.92,2.38
62.18,0.33,19.28,148.99,2.39
61.72,0.31,3.02,438.92,2.38
62.18,0.33,19.28,148.99,2.39
61.37,0.31,3.02,438.92,2.38
62.47,0.33,19.28,148.99,2.39
61.03,0.31,3.02,438.92,2.37
62.88,0.34,17.82,148.99,2.39
61.03,0.31,3.02,438.92,2.37
63.34,0.34,17.82,148.99,2.40
60.68,0.30,3.02,438.92,2.36
63.79,0.34,17.82,148.99,2.40
60.34,0.37,3.02,438.92,2.36
59.96,0.37,3.02,438.92,2.35
64.27,0.34,17.82,148.99,2.40
59.22,0.36,3.02,438.92,2.33
64.78,0.34,17.82,148.99,2.41
58.52,0.36,3.02,438.92,2.31
65.89,0.34,17.82,148.50,2.41
57.85,0.36,3.02,438.92,2.29
66.45,0.34,17.82,148.50,2.42
57.19,0.36,4.94,438.92,2.27
68.00,0.35,17.82,148.50,2.43
56.57,0.35,4.94,438.92,2.26
70.95,0.34,17.82,148.50,2.49
55.94,0.35,4.94,438.92,2.25
54.72,0.35,4.94,438.92,2.25
67.49,0.33,17.82,148.50,2.42
53.98,0.35,4.94,438.92,2.26
66.88,0.33,17.82,148.50,2.42
53.25,0.34,4.94,438.92,2.28
66.93,0.33,17.82,148.50,2.42
52.43,0.34,4.94,438.92,2.31
67.00,0.33,17.82,148.50,2.42
51.71,0.34,4.94,183.85,2.33
67.06,0.33,17.82,147.26,2.42
50.98,0.33,4.94,183.85,2.34
67.19,0.33,17.82,147.26,2.42
50.25,0.33,4.94,183.85,2.34
67.27,0.33,17.82,147.26,2.42
49.69,0.33,4.94,183.85,2.33
67.34,0.33,17.82,147.26,2.42
49.20,0.33,4.94,183.85,2.32
67.43,0.33,17.82,147.26,2.42
48.72,0.33,4.94,183.85,2.30
48.23,0.32,4.94,183.85,2.28
67.51,0.32,17.82,147.26,2.42
47.73,0.32,4.94,183.85,2.26
67.60,0.32,17.82,147.26,2.43
47.24,0.32,4.94,183.85,2.23
67.69,0.32,17.82,147.26,2.43
46.73,0.32,4.94,183.85,2.20
67.79,0.32,17.82,147.26,2.43
46.21,0.32,4.94,183.85,2.17
67.89,0.32,17.82,147.26,2.43
45.76,0.31,4.94,183.85,2.14
68.00,0.32,17.82,147.26,2.43
45.23,0.31,10.16,183.85,2.11
68.11,0.32,17.82,147.26,2.43
44.77,0.31,10.16,183.85,2.08
