# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.115410,2.862454,447.787781,2.449393
0.114775,2.862454,447.787781,2.449393
0.114138,2.862454,447.787781,2.449393
0.113500,2.862454,447.787781,2.449393
0.111963,2.862454,447.787781,2.444295
0.109907,2.862454,447.787781,2.436139
0.109278,2.862454,447.787781,2.436139
0.108648,2.862454,447.787781,2.436139
0.108017,2.862454,447.787781,2.436139
0.107384,2.862454,447.787781,2.436139
0.106750,2.862454,447.787781,2.436139
0.103514,2.862454,447.787781,2.420340
0.102893,2.862454,447.787781,2.420340
0.047488,0.588717,158.162781,1.770606
0.097986,2.862454,447.787781,2.420340
0.191397,2.874517,165.054962,2.580315
0.097352,2.862454,447.787781,2.420340
0.096717,2.862454,447.787781,2.420340
0.093378,2.862454,447.787781,2.402303
0.092758,2.862454,447.787781,2.402303
0.092138,2.862454,447.787781,2.402303
0.091516,2.862454,447.787781,2.402303
0.090894,2.862454,447.787781,2.402303
0.047557,0.588717,158.162781,1.757713
0.089439,2.862454,447.787781,2.396263
0.086995,2.862454,447.787781,2.383077
0.191322,2.874517,165.054962,2.566341
0.086387,2.862454,447.787781,2.383077
0.085779,2.862454,447.787781,2.383077
0.084357,2.862454,447.787781,2.376865
0.083752,2.862454,447.787781,2.376865
0.083147,2.862454,447.787781,2.376865
0.079826,2.862454,447.787781,2.355773
0.047674,0.588717,158.028580,1.716452
0.079238,2.862454,447.787781,2.355773
0.078650,2.862454,447.787781,2.355773
0.190617,2.874517,165.054962,2.238404
0.078060,2.862454,447.787781,2.355773
0.076674,2.862454,447.787781,2.349031
0.076089,2.862454,447.787781,2.349031
0.073592,2.862454,447.787781,2.332839
0.073020,2.862454,447.787781,2.332839
0.047828,0.588717,158.028580,1.645352
0.071675,2.862454,447.787781,2.326075
0.071107,2.862454,447.787781,2.326075
0.189857,2.874517,165.054962,2.062754
0.070538,2.862454,447.787781,2.326075
0.069223,2.862454,447.787781,2.319266
0.066724,2.862454,447.787781,2.301069
0.066175,2.862454,447.787781,2.301069
0.064803,2.862454,447.787781,2.293388
0.047942,0.588717,158.028580,1.590531
0.064259,2.862454,447.787781,2.293388
0.190314,2.874517,165.054962,2.060225
0.063715,2.862454,447.787781,2.293388
0.062462,1.272103,420.727356,2.285964
0.059972,1.272103,420.727356,2.265611
0.059449,1.272103,420.727356,2.265611
0.058219,1.272103,420.727356,2.257625
0.191126,2.874517,165.054962,2.061550
0.048043,0.588717,158.028580,1.541380
0.057700,1.272103,420.727356,2.257625
0.056413,1.272103,420.727356,2.249411
0.055900,1.272103,420.727356,2.249411
0.053382,1.272103,420.727356,2.226253
0.052118,1.272103,420.727356,2.217414
0.191780,2.874517,165.054962,2.061133
0.051629,1.272103,420.727356,2.217414
0.048222,0.588717,157.719635,1.416156
0.050475,1.272103,420.727356,2.208474
0.049991,1.272103,420.727356,2.208474
0.049507,1.272103,420.727356,2.208474
0.190486,2.874517,165.054962,1.586130
0.043148,1.272103,420.727356,2.127048
0.042721,1.272103,420.727356,2.127048
0.048350,0.588717,157.719635,1.329653
0.040176,1.272103,420.727356,2.094813
0.191346,2.874517,165.054962,1.701878
0.039769,1.272103,420.727356,2.094813
0.037115,1.272103,420.727356,2.058990
0.036730,1.272103,225.729126,2.058990
0.034374,1.272103,225.729126,2.020691
0.192932,2.874517,165.054962,2.005456
0.048448,0.588717,157.719635,1.270293
0.024985,13.535141,225.729126,1.822771
0.020932,13.535141,225.729126,1.704528
0.020704,13.535141,225.729126,1.704528
0.194290,2.874517,165.054962,2.054362
0.015680,13.535141,225.729126,1.515053
0.015505,13.535141,225.729126,1.515053
0.048573,0.588717,157.719635,1.181959
