# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.285611,21.740147,234.508499,2.371461
0.315682,6.712564,1198.716309,2.317720
0.283756,21.740147,235.506088,2.353543
0.315806,6.712564,1198.716309,2.317720
0.281873,21.740147,241.632233,2.325601
0.314762,6.712564,1198.716309,2.295445
0.279977,21.740147,255.135895,2.290087
0.314820,6.712564,1198.716309,2.294279
0.279788,21.740147,255.135895,2.290087
0.277897,21.740147,253.598572,2.249283
0.314881,6.712564,1198.716309,2.293231
0.275949,21.740147,253.598572,2.204866
0.314964,6.712564,1198.716309,2.292710
0.273875,21.740147,253.598572,2.159474
0.315059,6.712564,1198.716309,2.292493
0.312983,21.740147,253.598572,2.123392
0.315171,6.712564,1198.716309,2.292723
0.312776,21.740147,253.598572,2.123392
0.315282,6.712564,1198.716309,2.292958
0.310520,21.740147,256.826630,2.090600
0.315418,6.712564,1198.716309,2.293797
0.308209,21.740147,256.826630,2.064345
0.305898,21.740147,256.826630,2.044550
0.315567,6.712564,1198.716309,2.295022
0.303603,21.740147,256.826630,2.030818
0.307401,6.712564,1198.716309,2.296265
0.304315,21.740147,256.826630,2.036484
0.307562,6.712564,1198.716309,2.297908
0.302058,21.740147,256.826630,2.025059
0.307729,6.712564,1198.716309,2.299781
0.299776,21.740147,256.826630,2.017234
0.307905,6.712564,1198.716309,2.301838
0.297497,21.740147,256.826630,2.011617
0.308096,6.712564,1198.716309,2.304228
0.295187,21.740147,256.826630,2.007914
0.308301,6.712564,1198.716309,2.306930
0.292866,21.740147,256.826630,2.006080
0.292632,21.740147,254.469498,2.006080
0.308363,6.712564,1198.716309,2.306930
0.290314,21.740147,254.469498,2.006377
0.308577,6.712564,1198.716309,2.309846
0.287444,21.740147,254.469498,2.011183
0.308803,6.712564,1198.716309,2.312986
0.284199,21.740147,254.469498,2.024775
0.313678,6.712564,1198.716309,2.373981
0.280805,21.740147,254.469498,2.050162
0.303003,6.712564,956.931091,2.373981
0.277488,21.740147,254.469498,2.086364
0.303047,6.712564,956.931091,2.373981
0.274101,21.740147,254.469498,2.131699
0.303281,6.712564,956.931091,2.375021
0.273857,21.740147,254.469498,2.131699
0.303540,6.712564,956.931091,2.376054
0.270366,21.740147,254.469498,2.181695
0.303797,6.712564,956.931091,2.376905
0.267066,21.740147,254.469498,2.226493
0.304045,6.712564,956.931091,2.377563
0.261399,21.740147,254.469498,2.267049
0.257988,21.740147,254.469498,2.296482
0.304306,44.405090,956.931091,2.378077
0.254396,21.740147,254.469498,2.317382
0.304579,44.405090,956.931091,2.378411
0.251028,21.740147,254.469498,2.328880
0.304853,44.405090,956.931091,2.378538
0.247554,21.740147,254.469498,2.334342
0.300051,44.405090,956.931091,2.378451
0.247306,21.740147,254.469498,2.334342
0.300330,44.405090,956.931091,2.378142
0.243719,21.740147,254.469498,2.335299
0.300623,44.405090,956.931091,2.377584
0.242961,21.740147,254.469498,2.335074
0.300926,44.405090,956.931091,2.376754
0.242285,21.740147,336.560242,2.334920
0.301228,44.405090,956.931091,2.375666
0.245668,21.740147,336.560242,2.334723
0.301537,44.405090,956.931091,2.374173
0.244198,21.740147,336.560242,2.335168
0.301856,44.405090,956.931091,2.372237
0.242484,21.740147,336.560242,2.335071
0.301853,44.405090,956.931091,2.372237
0.240912,21.740147,336.560242,2.334564
0.302167,44.405090,956.931091,2.369914
0.239397,21.740147,390.145081,2.333674
0.302493,44.405090,956.931091,2.367169
0.239129,21.740147,390.145081,2.333674
0.299709,44.405090,956.931091,2.378514
0.237882,21.740147,390.145081,2.332776
0.300086,44.405090,956.931091,2.378418
0.237953,21.740147,390.145081,2.333186
0.300469,44.405090,956.931091,2.377815
0.236691,21.740147,390.145081,2.332184
0.279286,44.405090,138.889755,2.376694
0.234368,21.740147,390.145081,2.329620
0.235450,44.405090,138.889755,2.374998
0.231151,21.740147,390.145081,2.325025
0.235756,44.405090,138.889755,2.372571
0.227023,21.740147,390.145081,2.317807
0.236070,44.405090,138.889755,2.369390
0.222041,21.740147,390.145081,2.307392
0.236040,26.587896,138.889755,2.369390
0.216165,21.740147,390.145081,2.292603
0.238539,26.587896,138.889755,2.333309
0.215898,21.740147,390.145081,2.292603
0.290453,21.740147,549.301941,2.011135
0.238822,26.587896,138.889755,2.327965
0.191629,21.740147,390.145081,2.271488
0.289958,21.740147,549.301941,2.011135
0.239110,26.587896,138.889755,2.322603
0.184154,21.063583,390.145081,2.240928
0.289459,21.063583,549.301941,2.011135
0.239398,26.587896,138.889755,2.317017
0.175107,21.063583,390.145081,2.196728
0.288957,21.063583,549.301941,2.011135
0.248709,26.587896,129.138474,2.311299
0.164658,21.063583,390.145081,2.139629
0.285152,21.063583,549.301941,2.026276
0.249007,24.811764,129.138474,2.305768
0.153153,21.063583,390.145081,2.074641
0.283918,21.063583,549.301941,2.031255
0.315646,21.063583,549.301941,2.036894
0.249318,24.811764,129.138474,2.300470
0.140540,21.063583,390.145081,2.003484
0.124433,21.063583,390.145081,1.912825
0.314337,21.063583,549.301941,2.043189
0.249629,24.811764,129.138474,2.295691
0.103557,21.063583,390.145081,1.789084
0.313035,21.063583,549.301941,2.049992
0.249934,24.811764,129.138474,2.291334
0.311739,21.063583,549.301941,2.057276
0.083810,21.063583,390.145081,1.652097
0.250243,24.811764,129.138474,2.287338
0.311220,21.063583,549.301941,2.057276
0.203303,24.811764,129.138474,2.283877
0.304514,21.063583,549.301941,2.132395
0.203546,24.811764,129.138474,2.281037
0.303233,21.063583,549.301941,2.143092
0.203474,24.811764,129.138474,2.281037
0.301962,21.063583,549.301941,2.153719
0.301441,21.063583,549.301941,2.153719
0.203715,24.811764,129.138474,2.279092
0.300175,21.063583,549.301941,2.164142
0.203945,24.811764,129.138474,2.278043
0.298914,21.063583,549.301941,2.174286
0.204186,24.811764,129.138474,2.277818
0.290757,21.063583,549.301941,2.267788
0.151458,21.063583,549.301941,2.274421
0.204423,24.811764,129.138474,2.278426
0.265836,21.063583,549.301941,2.274421
0.264801,21.063583,549.301941,2.280459
