# subduction_volume_km3y, decompacted_sediment_thickness, sed_thick_0.2d, ocean_crust_carb_percent
0.105025,0.651194,171.074142,2.421129
0.104702,0.651194,171.074142,2.421129
0.104191,0.651194,171.074142,2.420115
0.075720,-0.009699,70.687073,2.589626
0.101420,0.651194,171.074142,2.404922
0.101102,0.651194,171.074142,2.404922
0.100783,0.651194,171.074142,2.404922
0.100463,0.651194,171.074142,2.404922
0.000000,0.742897,165.945587,1.950730
0.102171,0.651194,171.074142,2.417734
0.075917,-0.009699,70.687073,2.587777
0.101842,0.651194,171.074142,2.417734
0.101511,0.651194,171.074142,2.417734
0.086870,0.651194,171.074142,2.417734
0.076474,-0.009699,70.687073,2.603463
0.083767,0.651194,171.074142,2.395067
0.083513,0.651194,171.074142,2.395067
0.076796,-0.009699,70.687073,2.607885
0.080580,0.651194,171.074142,2.375795
0.080332,0.651194,171.074142,2.375795
0.077031,-0.009699,70.687073,2.607885
0.095590,0.651194,171.074142,2.375795
0.093388,0.651194,171.074142,2.363153
0.098742,0.651194,171.074142,2.400971
0.098407,0.651194,171.074142,2.400971
0.077359,-0.009699,70.687073,2.612901
0.094989,0.651194,171.074142,2.380916
0.094662,0.651194,171.074142,2.380916
0.094334,0.651194,171.074142,2.380916
0.077572,-0.009699,70.687073,2.611931
0.096699,0.651194,171.074142,2.398384
0.095574,0.651194,171.074142,2.393177
0.095236,0.651194,171.074142,2.393177
0.077783,-0.009699,70.687073,2.610757
0.094897,0.651194,171.074142,2.393177
0.093901,0.651194,171.074142,2.388886
0.078015,-0.009699,70.687073,2.610757
0.093562,0.651194,171.074142,2.388886
0.091301,0.651194,171.074142,2.375618
0.090226,0.651194,171.074142,2.370460
0.069405,-0.009699,70.687073,2.610757
0.089893,0.651194,171.074142,2.370460
0.089559,0.651194,171.074142,2.370460
0.088401,0.651194,171.074142,2.364528
0.069615,-0.009699,70.687073,2.610757
0.088068,0.651194,171.074142,2.364528
0.085863,0.651194,171.074142,2.350614
0.069825,-0.009699,70.687073,2.610757
0.055936,0.742897,165.589981,1.913491
0.084841,0.651194,171.074142,2.345509
0.084515,0.651194,171.074142,2.345509
0.083486,0.651194,171.074142,2.339689
0.070033,-0.009699,70.687073,2.610757
0.083160,0.651194,171.074142,2.339689
0.082834,0.651194,171.074142,2.339689
0.070241,-0.009699,70.687073,2.610757
0.081706,0.651194,171.074142,2.334012
0.079490,0.651194,171.074142,2.318795
0.070449,-0.009699,70.687073,2.610757
0.079171,0.651194,171.074142,2.318795
0.077290,0.651194,171.074142,2.306204
0.076976,0.651194,171.074142,2.306204
0.070655,-0.009699,70.687073,2.610757
0.074866,0.651194,171.074142,2.291054
0.074557,0.651194,171.074142,2.291054
0.070861,-0.009699,70.687073,2.610757
0.066997,0.651194,171.074142,2.225839
0.066716,0.651194,171.074142,2.225839
0.065862,-0.009699,70.687073,0.750157
0.064535,0.651194,171.074142,2.206976
0.064262,0.651194,171.074142,2.206976
0.066051,-0.009699,70.687073,0.750157
0.061934,0.651194,171.074142,2.186421
0.066239,-0.009699,70.687073,0.750157
0.061667,0.651194,171.074142,2.186421
0.058114,0.651194,171.074142,2.149722
0.066427,-0.009699,70.687073,0.750157
0.046333,0.651194,171.074142,1.951331
0.040828,0.651194,171.074142,1.851171
0.066614,-0.009699,70.687073,0.750157
0.040647,0.651194,171.074142,1.851171
0.056199,0.742897,164.652771,1.848777
0.066801,-0.009699,70.687073,0.750157
0.053853,0.651194,171.074142,2.105040
0.053611,0.651194,70.687073,2.105040
0.022750,-0.009699,70.687073,1.925620
