# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
20.48,0.01,34.91,72.64,2.13
2.62,0.07,117.02,305.10,1.30
20.01,0.01,26.55,70.34,2.13
2.05,0.06,117.02,305.10,1.24
20.01,0.01,26.55,70.34,2.13
20.01,0.01,26.55,70.34,2.13
2.05,0.06,117.02,305.10,1.24
20.01,0.01,26.55,70.34,2.13
1.81,0.06,117.02,305.10,1.21
23.39,0.02,27.26,70.23,2.23
1.81,0.06,117.02,305.10,1.21
23.39,0.02,27.26,70.23,2.23
1.81,0.06,117.02,305.10,1.21
9.12,0.01,38.87,88.32,1.69
11.26,0.01,21.53,81.16,1.78
1.65,0.05,117.02,305.10,1.18
11.26,0.01,21.53,81.16,1.78
1.65,0.05,117.02,305.10,1.18
11.26,0.01,21.53,81.16,1.78
11.26,0.01,21.53,81.16,1.78
12.73,0.01,7.88,71.40,1.83
1.50,0.05,117.02,305.10,1.16
12.73,0.01,7.88,71.40,1.83
1.50,0.05,117.02,305.10,1.16
12.73,0.01,13.78,82.01,1.83
12.73,0.01,13.78,82.01,1.83
1.50,0.05,117.02,305.10,1.16
13.97,0.01,10.06,89.20,1.86
0.29,0.02,117.02,305.10,0.69
13.97,0.01,2.93,71.32,1.86
0.29,0.02,117.02,305.10,0.69
13.97,0.01,2.93,71.32,1.86
14.01,0.01,1.43,76.61,1.87
0.43,0.03,117.02,305.10,0.82
14.01,0.01,1.43,76.61,1.87
0.43,0.03,117.02,305.10,0.82
14.01,0.01,1.43,76.61,1.87
0.43,0.03,117.02,305.10,0.82
17.87,0.01,1.04,80.51,2.00
17.87,0.01,1.04,80.51,2.00
0.54,0.03,117.02,305.10,0.90
17.87,0.01,1.04,80.51,2.00
0.54,0.03,117.02,305.10,0.90
17.87,0.01,1.04,80.51,2.00
17.87,0.00,2.81,87.14,2.00
0.63,0.03,117.02,305.10,0.93
17.87,0.00,2.81,87.14,2.00
17.87,0.00,2.81,87.14,2.00
0.63,0.03,117.02,305.10,0.93
17.87,0.00,2.81,87.14,2.00
0.72,0.04,117.02,305.10,0.97
17.87,0.00,4.09,90.87,2.00
38.33,0.00,4.09,90.87,2.32
0.72,0.04,117.02,1070.88,0.97
15.05,0.00,4.09,90.87,1.90
15.05,0.00,4.09,90.87,1.90
0.72,0.04,117.02,1070.88,0.97
15.05,0.00,3.29,92.19,1.90
0.79,0.04,117.02,1070.88,0.99
41.71,0.00,3.29,92.19,2.30
41.71,0.00,3.29,92.19,2.30
0.79,0.04,117.02,1070.88,0.99
41.71,0.00,0.84,75.29,2.30
