# seafloor_age,subduction_volume_km3y,decompacted_sediment_thickness,sed_thick_0.2d,ocean_crust_carb_percent
73.55,0.14,7.97,91.89,0.76
20.17,0.03,0.00,472.32,2.21
19.01,0.03,0.00,393.05,2.19
73.49,0.14,7.97,91.89,0.76
19.01,0.03,0.00,393.05,2.19
19.01,0.02,0.00,393.05,2.19
73.50,0.14,7.97,91.89,0.76
18.06,0.02,0.00,393.05,2.18
18.06,0.02,0.00,393.05,2.18
73.50,0.14,7.97,91.89,0.76
14.80,0.02,0.00,393.05,2.11
14.80,0.02,0.00,393.05,2.11
73.59,0.14,7.97,91.89,0.76
14.80,0.02,0.00,89.32,2.11
13.89,0.02,2.72,89.32,2.09
73.79,0.14,7.97,91.89,0.75
13.89,0.02,2.72,89.32,2.09
13.89,0.02,2.72,89.32,2.09
74.11,0.14,7.97,91.89,0.75
13.05,0.02,2.72,89.32,2.07
10.71,0.02,2.72,89.32,2.01
74.11,0.14,7.97,91.89,0.75
9.81,0.01,2.72,89.32,1.99
74.55,0.15,7.97,91.89,0.75
9.81,0.01,2.72,89.32,1.99
8.82,0.01,2.72,89.32,1.95
75.97,0.15,7.97,91.89,0.75
8.82,0.01,2.72,89.32,1.95
8.82,0.01,2.72,89.32,1.95
76.41,0.15,7.97,91.89,0.75
8.10,0.01,2.72,89.32,1.92
76.41,0.15,7.97,91.89,0.75
6.01,0.01,2.72,89.32,1.82
5.08,0.01,2.72,89.32,1.77
76.74,0.15,7.97,91.89,0.75
5.08,0.01,2.72,89.32,1.77
4.29,0.00,2.72,89.32,1.72
76.98,0.15,7.97,91.89,0.75
4.29,0.00,2.72,89.32,1.72
77.24,0.15,7.97,91.89,0.75
3.30,0.00,2.72,89.32,1.64
3.30,0.00,3.72,89.32,1.64
77.24,0.15,9.34,91.89,0.75
2.49,0.00,3.72,89.32,1.54
2.49,0.00,3.72,89.32,1.54
77.51,0.15,7.97,91.89,0.75
15.94,0.01,3.72,89.32,2.13
77.97,0.15,7.97,91.89,0.75
15.94,0.01,4.01,89.32,2.13
19.39,0.01,4.01,89.32,2.20
78.27,0.15,7.97,91.89,0.75
19.39,0.01,4.01,89.32,2.20
20.07,0.01,4.01,89.32,2.21
78.46,0.15,7.97,91.89,0.75
20.07,0.01,4.01,89.32,2.21
78.65,0.15,7.97,91.89,0.75
20.72,0.01,4.01,99.27,2.22
20.72,0.01,4.01,99.27,2.22
78.65,0.15,7.97,91.89,0.75
24.00,0.01,4.01,99.27,2.27
24.00,0.01,4.01,99.27,2.27
78.84,0.15,9.34,91.89,0.75
24.60,0.01,4.01,99.27,2.28
79.04,0.16,7.97,91.89,0.75
24.60,0.01,4.01,99.27,2.28
25.21,0.02,4.01,99.27,2.29
79.24,0.16,7.97,91.89,0.75
25.21,0.02,4.01,99.27,2.29
25.82,0.02,4.01,99.27,2.29
79.45,0.16,7.97,91.89,0.75
26.43,0.02,4.01,99.27,2.30
79.66,0.16,7.97,91.89,0.75
26.43,0.02,4.01,99.27,2.30
