SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	METHOD	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	CU
ODP0124-0770C-006R-003/045-048		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.669	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		74
ODP0124-0770C-007R-005/003-006		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.669	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		39
ODP0124-0770C-007R-006/044-047		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	5.1448	123.669	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		54
ODP0124-0767B-003H-001/088-090		PETDB	POUCLET, A G; PUBELLIER, M; SPADEA, P, 1991	ODP0124	4.7999	123.503	0.0001				ICPMS	IGNEOUS	VOLCANIC	CLASTIC	UNKNOWN		54
ODP0124-0768C-098R-003/069-012		PETDB	SMITH, T E; HUANG, C H; SAJONA, F G, 1991	ODP0124	8.0007	121.22	0.0001				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		39
AM-1		GEOROC	NISHIWAKI, H.; OKUDAIRA, T., 2005		34	135	0.01				NOT GIVEN	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		28
TM-011		GEOROC	IIZUMI, S.; IMAOKA, T.; KAGAMI, H., 2000		34.5	131.3	0.01				XRF	IGNEOUS	PLUTONIC	INTERMEDIATE	DIORITE		34
81		GEOROC	DEFANT, M. J.; MAURY, R. C.; RIPLEY, E. M.; FEIGENSON, M. D.; JACQUES, D., 1991		14.72	120.43	0.01				XRF/AAS	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		113
2		GEOROC	HATTORI, K., 1993		15.13	120.35	0.01				EMP (EPMA)	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		21.69
2039-3-3BAPH		GEOROC	KANEKO, K.; INOUE, K.; KOYAGUCHI, T.; YOSHIKAWA, M.; SHIBATA, T.; TAKAHASHI, T.; FURUKAWA, K., 2015		32.9706	131.313	0.01				XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		4
1201		GEOROC	XU, HAIJIN, 1988		36.3	133.3	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	MUGEARITE		25
040605-OG17		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A.; HIRAHARA, Y.; SHUTO, K., 2006		34.7	135.6	0.01				XRF	IGNEOUS	VOLCANIC	UNKNOWN	PICRITE		30
H-85		GEOROC	KAWABE, I., 1974		34	136	0.01				AAS	IGNEOUS	VOLCANIC	MAFIC	BASALT		57
SR-07		GEOROC	YUHARA, MASAKI; MIYAZAKI, T.; KAGAMI, H.; YUHARA, MIE, 2003		34.38	134.12	0.01	82.9	82.9	82.9	XRF	IGNEOUS	PLUTONIC	FELSIC	GRANITE		0
101804		GEOROC	OHTA, T.; AOKI, K.-I., 1991		33	131.3	0.01				NOT GIVEN	IGNEOUS	VOLCANIC	FELSIC	DACITE		6
S031407-2		GEOROC	KUSHENDRATNO, ; PALLISTER, J. S.; KRISTIANTO, ; BINA, F. R.; MCCAUSLAND, W.; CARN, S. A.; HAERANI, N.; GRISWOLD, J.; KEELER, R., 2012		1.12258	124.742	0.01				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		86
Y35		GEOROC	CHEN, JU-CHIN, 1988		23.5	119.4	0.01	2.6	12.8	23	AAS	IGNEOUS	VOLCANIC	MAFIC	BASALT		57
