0, -66.28, -27.37, 6, 201
1, -69.37, -31.30, 230, 201
2, -69.75, -30.50, 12, 201
3, -66.65, -27.27, 9, 201
4, -66.61, -27.33, 8, 201
5, -66.55, -27.40, 7, 201
6, -66.57, -27.28, 8, 201
7, -67.90, -26.30, 14, 201
8, -70.58, -38.25, 85, 201
9, -69.17, -30.00, 230, 201
10, -70.05, -31.95, 13, 201
11, -66.60, -24.13, 13, 201
12, -70.45, -31.76, 10, 201
13, -66.22, -27.38, 6, 201
14, -66.76, -25.14, 15, 201
15, -70.63, -39.18, 230, 201
16, -67.75, -29.00, 4, 201
17, -65.87, -24.20, 15, 201
18, -69.08, -32.42, 14, 201
19, -69.10, -32.48, 14, 201
20, -70.47, -37.43, 45, 201
21, -69.97, -32.57, 9, 201
22, -69.43, -32.25, 230, 201
23, -67.78, -24.57, 29, 201
24, -67.73, -24.58, 31, 201
25, -69.44, -32.14, 230, 201
26, -67.48, -16.92, 23, 201
27, -66.60, -18.44, 21, 201
28, -65.75, -19.63, 12, 201
29, -66.45, -20.95, 13, 201
30, -66.03, -20.91, 16, 201
31, -66.00, -18.70, 22, 201
32, -66.79, -18.14, 20, 201
33, -67.13, -17.95, 15, 201
34, -66.19, -20.63, 16, 201
35, -66.36, -20.48, 16, 201
36, -71.42, -30.25, 112, 201
37, -69.61, -24.40, 100, 201
38, -69.92, -22.53, 142, 201
39, -69.85, -27.41, 109, 201
40, -69.17, -23.16, 44, 201
41, -69.23, -27.87, 14, 201
42, -69.26, -20.04, 52, 201
43, -69.08, -24.13, 37, 201
44, -68.90, -22.28, 33, 201
45, -68.71, -20.96, 32, 201
46, -68.74, -21.95, 36, 201
47, -68.89, -20.92, 35, 201
48, -70.30, -33.15, 5, 201
49, -69.72, -18.29, 14, 201
50, -68.83, -21.92, 36, 201
51, -68.73, -21.12, 230, 201
52, -69.55, -26.25, 42, 201
53, -69.08, -22.99, 29, 201
54, -70.46, -34.09, 5, 201
55, -69.06, -22.97, 41, 201
56, -68.82, -23.41, 42, 201
57, -69.87, -26.77, 63, 201
